,Title,TMDB_id
0,Batman,268
1,Holy Batmania,601973
2,Batmania: From Comics to Screen,157757
3,Batman and Robin and Other Super Heroes,158186
4,Indiana Jones and the Last Crusade,89
5,Lethal Weapon 2,942
6,Look Who's Talking,9494
7,"Honey, I Shrunk the Kids",9354
8,"The Making of Honey, I Shrunk the Kids",494955
9,Back to the Future Part II,165
10,Back to the Future (Part II): Behind-the-Scenes Special Presentation,48499
11,Ghostbusters II,2978
12,Driving Miss Daisy,403
13,Parenthood,1552
14,Dead Poets Society,207
15,Cameron's Closet,59735
16,DeepStar Six,11607
17,The Experts,55699
18,Gleaming the Cube,1380
19,The January Man,32059
20,Cohen and Tate,32079
21,Parents,27607
22,Physical Evidence,41938
23,Three Fugitives,31608
24,Her Alibi,17819
25,Kinjite: Forbidden Subjects,59201
26,Who's Harry Crumb?,11718
27,Wicked Stepmother,35826
28,Cousins,31674
29,The Fly II,10344
30,Tap,16560
31,The McPherson Tape,204611
32,The House of the Yellow Carpet,84984
33,Full Exposure: The Sex Tapes Scandal,103569
34,Tapers,206954
35,Lethal Weapon 2,942
36,Lethal Weapon,941
37,Licence to Kill,709
38,When Harry Met Sally...,639
39,A Short Film About Killing,10754
40,Hero and the Terror,38950
41,The Terror Within,29345
42,The Yellow Wallpaper,205091
43,Bill & Ted's Excellent Adventure,1648
44,The 'Burbs,11974
45,The Mighty Quinn,31004
46,True Believer,31863
47,American Ninja 3: Blood Hunt,25682
48,"Bert Rigby, You're a Fool",119822
49,Powwow Highway,63587
50,The Toxic Avenger Part II,28165
51,The Toxic Avenger Part III: The Last Temptation of Toxie,28169
52,Hit List,89526
53,Dream a Little Dream,15142
54,Farewell to the King,20713
55,Lean On Me,14621
56,Skin Deep,12478
57,The Adventures of Baron Munchausen,14506
58,Chances Are,3064
59,Jacknife,39787
60,New York Stories,9686
61,Police Academy 6: City Under Siege,11895
62,Dead Man Out,281288
63,Fletch Lives,14628
64,Leviathan,14372
65,Rooftops,115386
66,976-EVIL,24038
67,Dead Bang,4925
68,Troop Beverly Hills,22102
69,Heathers,2640
70,Cyborg,10134
71,Cy-Warrior,242514
72,The Bronx Executioner,131882
73,Dead Calm,10493
74,The Dream Team,14550
75,Major League,9942
76,Disorganized Crime,30352
77,Say Anything...,2028
78,She's Out of Control,47045
79,Winter People,108969
80,Kickboxer,10222
81,Dragon Fight,35038
82,"No Retreat, No Surrender 2: Raging Thunder",42012
83,Open Fire,120815
84,Checking Out,54501
85,Field of Dreams,2323
86,Pet Sematary,8913
87,Red Scorpion,12663
88,See You in the Morning,120518
89,Speed Zone,12236
90,Teen Witch,25199
91,Murderers Among Us: The Simon Wiesenthal Story,213559
92,Criminal Law,41952
93,The Horror Show,38084
94,K-9,10345
95,Loverboy,17362
96,Lover Boy,386920
97,Miss Firecracker,39197
98,Scandal,32261
99,Scandal of a Lifetime,620224
100,Full Exposure: The Sex Tapes Scandal,103569
101,The Scandal Story,491483
102,Blaze,22711
103,Flesh Trade,1116306
104,How to Get Ahead in Advertising,14776
105,Listen to Me,86408
106,Lost Angels,43990
107,Signs of Life,76476
108,Earth Girls Are Easy,2210
109,The Rachel Papers,41944
110,"See No Evil, Hear No Evil",11185
111,Cold Feet,88658
112,For Queen & Country,42347
113,Fright Night Part 2,18086
114,How I Got Into College,27307
115,Miracle Mile,24739
116,Road House,10135
117,Dead Dudes in the House,69869
118,Indiana Jones and the Last Crusade,89
119,Pink Cadillac,20006
120,Third Degree Burn,112478
121,Dead Poets Society,207
122,No Holds Barred,39002
123,No Holds Barred: The Match/The Movie,287436
124,Renegades,20307
125,Scenes from the Class Struggle in Beverly Hills,60276
126,Vampire's Kiss,7091
127,Star Trek V: The Final Frontier,172
128,Ghostbusters II,2978
129,Batman,268
130,Holy Batmania,601973
131,Batmania: From Comics to Screen,157757
132,Batman and Robin and Other Super Heroes,158186
133,"Honey, I Shrunk the Kids",9354
134,"The Making of Honey, I Shrunk the Kids",494955
135,Traveling Man,419563
136,Do the Right Thing,925
137,Making 'Do the Right Thing',288421
138,Great Balls of Fire!,11465
139,The Karate Kid Part III,10495
140,Weekend at Bernie's,8491
141,Lethal Weapon 2,942
142,Licence to Kill,709
143,Shag,38043
144,Easy Steps,462435
145,UHF,11959
146,When Harry Met Sally...,639
147,Babar: The Movie,35927
148,Friday the 13th Part VIII: Jason Takes Manhattan,10283
149,Turner & Hooch,6951
150,Parenthood,1552
151,Lock Up,9972
152,Young Einstein,10001
153,The Abyss,2756
154,Alien from the Deep,27909
155,A Nightmare on Elm Street: The Dream Child,10160
156,Rude Awakening,24254
157,Uncle Buck,2616
158,Blood Red,135643
159,Casualties of War,10142
160,Cheetah,65157
161,A Chorus of Disapproval,114266
162,Cookie,86093
163,Eddie and the Cruisers II: Eddie Lives!,25005
164,"sex, lies, and videotape",1412
165,Tailspin: Behind the Korean Airliner Tragedy,110441
166,Heart of Dixie,73249
167,Little Monsters,15138
168,The Package,31606
169,Swedish Package Holiday,267189
170,Wired,78151
171,Shirley Valentine,18683
172,Relentless,87462
