,Title,TMDB_id
0,Ghostbusters,620
1,On the Scene with the Ghostbusters,567641
2,Beverly Hills Cop,90
3,Indiana Jones and the Temple of Doom,87
4,The Making of 'Indiana Jones and the Temple of Doom',649923
5,Gremlins,927
6,The Karate Kid,1885
7,Police Academy,9336
8,Footloose,1788
9,Romancing the Stone,9326
10,Star Trek III: The Search for Spock,157
11,Splash,2619
12,Making a Splash,340260
13,Angel,1803
14,Angel,125769
15,Angela's War,204163
16,Angel's Bite,365373
17,Deadly Angels Strike Back,315278
18,Copper Angel,533927
19,The Angels,332053
20,Angel in a Devil's Body,319761
21,Angels in the Annexe,1205081
22,Pa d'àngel,446000
23,Demon Angel : A Day And Night With Roky Erickson,298600
24,Valley Girl,19053
25,Rouge,143679
26,Hanna D: The Girl from Vondel Park,86461
27,Creamy Mami: Forever Once More,72954
28,Palava enkeli,661482
29,Jocks,209627
30,Hot Dog... The Movie,21989
31,The Buddy System,61471
32,Broadway Danny Rose,12762
33,The Lonely Guy,27171
34,Reckless,38702
35,Other Reckless Things,425445
36,Unfaithfully Yours,50812
37,Blame It on Rio,14347
38,Crackers,87235
39,Footloose,1788
40,Lassiter,56821
41,Preppies,117510
42,Against All Odds,22160
43,Harry and Son,91767
44,Repo Man,13820
45,Sahara,47808
46,This Is Spinal Tap,11031
47,Children of the Corn,10823
48,The Hotel New Hampshire,11308
49,Mike's Murder,31043
50,Splash,2619
51,Making a Splash,340260
52,Tank,21871
53,Zwei Nasen tanken Super,12098
54,Police Academy,9336
55,Racing with the Moon,47359
56,Slapstick (Of Another Kind),83412
57,"Greystoke: The Legend of Tarzan, Lord of the Apes",11002
58,Misunderstood,54658
59,Purple Hearts,42310
60,Romancing the Stone,9326
61,Hard to Hold,52734
62,Moscow on the Hudson,23111
63,The Stone Boy,154276
64,Up the Creek,28692
65,Where the Boys Are,59897
66,Friday the 13th: The Final Chapter,9730
67,Iceman,24749
68,Kidco,87909
69,Phar Lap,36527
70,Swing Shift,18446
71,Love Letters,75986
72,A Love Letter to Husband,82754
73,Alphabet City,124167
74,The Bounty,2669
75,Breakin',15259
76,Breakin' 2: Electric Boogaloo,17464
77,Breakin' Through,397839
78,Breakin' in the USA:  Break Dancing and Electric Boogie Taught by the Pros,297663
79,Sixteen Candles,15144
80,Firestarter,11495
81,The Natural,11393
82,Bagi: The Monster of Mighty Nature,34577
83,Nature Is Quietly Beautiful,933685
84,On the 8th Day,545082
85,Finders Keepers,5508
86,Making the Grade,55727
87,Indiana Jones and the Temple of Doom,87
88,The Making of 'Indiana Jones and the Temple of Doom',649923
89,Once Upon a Time in America,311
90,Star Trek III: The Search for Spock,157
91,Streets of Fire,14746
92,Streets of Fire,573247
93,Beat Street,17667
94,Ghostbusters,620
95,On the Scene with the Ghostbusters,567641
96,Gremlins,927
97,Top Secret!,8764
98,Under the Volcano,41089
99,Observations Under the Volcano,992841
100,Notes from Under the Volcano,420654
101,The Karate Kid,1885
102,The Pope of Greenwich Village,32081
103,Rhinestone,16551
104,Bachelor Party,12309
105,Cannonball Run II,11950
106,Conan the Destroyer,9610
107,The Last Starfighter,11884
108,The Muppets Take Manhattan,11899
109,Best Defense,11221
110,Electric Dreams,19596
111,The NeverEnding Story,34584
112,Revenge of the Nerds,14052
113,Meatballs: Part II,40771
114,Purple Rain,13763
115,The Bostonians,40775
116,"Grandview, U.S.A.",84116
117,Joy of Sex,85509
118,The Philadelphia Experiment,10606
119,Cloak & Dagger,48677
120,Red Dawn,1880
121,Dream One,249836
122,Little Nemo: Adventures in Slumberland Pilot 2,621240
123,The White Disease,212871
124,Britannia Hospital,26639
125,The Adventures of Buckaroo Banzai Across the 8th Dimension,11379
126,Dreamscape,24099
127,The Woman in Red,5968
128,Woman with the Red Hat,522897
129,Sheena,24264
130,Tightrope,11707
131,Cat on a Hot Tin Roof,4367
132,Love Streams,52109
133,Old Enough,104043
134,Oxford Blues,30231
135,Choose Me,42086
136,Bolero,5896
137,C.H.U.D.,23730
138,Flashpoint,47825
139,The Brother from Another Planet,26889
140,Secret Honor,50034
141,A Soldier's Story,26522
142,Amadeus,279
143,Carmen,21193
144,Carmen,1216791
145,First Name: Carmen,32689
146,Carmen nue,326098
147,All of Me,10631
148,The Legend of All Men Are Brothers,481997
149,Places in the Heart,13681
150,Windy City,297652
151,Until September,52778
152,Body Rock,47946
153,Country,42087
154,A Sunday in the Country,42102
155,Another Country,31939
156,This Is My Country,198475
157,A Country Affair,416705
158,A Plot Against the Soviet Country,698603
159,A Month in the Country,63639
160,The Country Girls,493681
161,Big Country – Live At Barrowland 1983 (The Homecoming),936957
162,Wilderness: A Country in the Mind,537903
163,High Country,289272
164,Ski Country,648303
165,The Countryside is So Beautiful,1269433
166,Hot Pursuit,1078792
167,Heartbreakers,91556
168,Irreconcilable Differences,47874
169,The River Rat,47638
170,The Wild Life,38980
171,Eureka,37943
172,Teachers,31601
173,"Teacher, Don't Turn Me On!",551379
174,The Burning Bed,60573
175,Comfort and Joy,30278
176,Garbo Talks,105404
177,Songwriter,69722
178,Crimes of Passion,40814
179,The Little Drummer Girl,32088
180,The Razor's Edge,24453
181,Stop Making Sense,24128
182,Thief of Hearts,48482
183,American Dreamer,52471
184,Body Double,11507
185,Firstborn,54752
186,Give My Regards to Broad Street,34748
187,"Paris, Texas",655
188,Streetwise,42098
189,The Terminator,218
190,Terror in the Aisles,47894
191,The Times of Harvey Milk,33138
192,The Killing Fields,625
193,Ninja in the Killing Field,89478
194,A Nightmare on Elm Street,377
195,No Small Affair,44772
196,"Oh, God! You Devil",38148
197,Just the Way You Are,75597
198,The Missing Link,48279
199,Missing in Action,15379
200,Night of the Comet,18462
201,Night Patrol,73621
202,Night Patrol,255473
203,Falling in Love,52744
204,Supergirl,9651
205,Supergirl: The Making of the Movie,83180
206,The Ewok Adventure,1884
207,Beverly Hills Cop,90
208,2010,4437
209,2010 : The Odyssey Continues,368351
210,City Heat,16969
211,The Cotton Club,2148
212,Dune,841
213,Destination Dune,919946
214,Voyage of a Hand,316064
215,The Birth of a Nation,618
216,Another Country,31939
217,Identification of a Woman,53234
218,Letter from a Filmmaker: Chantal Akerman,488000
219,Mass Appeal,110643
220,Kiss [1984] Quebec '84,112892
221,"The House, 1984",359720
222,Piramides 1972-1984,393190
223,The Jacksons Live At Toronto 1984 - Victory Tour,287283
224,Johnny Hallyday - Zénith 1984,387019
225,1984 DCI World Championships - Legacy Collection,1191728
226,Sade: Live At Montreux 1984,510635
227,Mötley Crüe | Quebec City 1984,171278
228,"Five Year Diary, Reel 41: California, Massachusetts & Wyoming (August 28–December 25, 1984)",766293
229,"Five Year Diary, Reel 35: Christmas 1983 and New Year 1984 (December 7, 1983–January 6, 1984)",765999
230,"Five Year Diary, Reel 36: Another Nervous Breakdown (January 7–February 9, 1984)",766001
231,"Five Year Diary, Reel 37: After the Mental Hospital Again (February 16–April 6, 1984)",766004
232,"Five Year Diary, Reel 38: Watching Music Television (April 6–May 18, 1984)",766005
233,"Five Year Diary, Reel 39: Yet Another Breakdown (May 19–July 17, 1984)",766006
234,EAV - Spitalo Fatalo 1984,372423
235,Super 8 Diary - 1984,779724
236,Hollis Frampton 1936-1984,779725
237,David Gilmour: Live 1984,498502
238,Anthrax: [1984] Fistful of Brooklyn,390349
239,Toon Hermans: One Man Show 1984,388141
240,A Passage to India,15927
241,Runaway,9507
242,Runaway,802054
243,Starman,9663
244,The Ratings Game,208614
245,A Christmas Carol,13189
246,The River,38557
247,The Man from Snowy River,24266
248,The River Rat,47638
249,The River Without Buoys,193698
250,The Quiet Little Li River,736666
251,Birdy,11296
252,Breakin' 2: Electric Boogaloo,17464
253,The Flamingo Kid,25010
254,Johnny Dangerously,16806
255,Micki + Maude,42094
256,Protocol,37296
257,Mrs. Soffel,31955
