,Title,TMDB_id
0,Jurassic Park,329
1,The Real Jurassic Park,331984
2,Prehysteria!,79500
3,Mrs. Doubtfire,788
4,The Fugitive,5503
5,Fugitive Nights: Danger in the Desert,292113
6,The Two Fugitives,746213
7,Seven Fugitive Images,419004
8,The Firm,37233
9,Sleepless in Seattle,858
10,Indecent Proposal,4478
11,In the Line of Fire,9386
12,The Pelican Brief,9944
13,Schindler's List,424
14,Cliffhanger,9350
15,Leprechaun,11811
16,Alive,7305
17,10cc - Alive,113848
18,John & Aage (a)live with band,324503
19,Trapped Alive,83821
20,Alive: 20 Years Later,458401
21,"DAAS - Doug Anthony All Stars, Dead and Alive",47603
22,Chisato Moritaka: Live Rock Alive,845075
23,Steely Dan: Alive and Kickin',682726
24,Braindead,763
25,The Tracker,67933
26,Body of Evidence,2149
27,Nowhere to Run,10413
28,Aspen Extreme,16370
29,Hexed,75686
30,Children of the Corn II: The Final Sacrifice,25748
31,Matinee,25389
32,Sniper,9545
33,Blind Side,60505
34,The Cemetery Club,79888
35,Homeward Bound: The Incredible Journey,6878
36,National Lampoon's Loaded Weapon 1,9644
37,Sommersby,1049
38,The Vanishing,1644
39,The Vanishing,8740
40,The Vanished Woman,545191
41,"DAAS - Doug Anthony All Stars, Dead and Alive",47603
42,The Tracker,67933
43,Braindead,763
44,Groundhog Day,137
45,Love Field,66599
46,The Temp,17168
47,The Temptation of a Fine Woman,531237
48,Dr. Devious & The Temple of Kaos,751762
49,Samurai II: Duel at Ichijoji Temple,31374
50,Temptation of a Monk,68981
51,Chucheng Danba and Torin Temple,710226
52,Autumn Temptations,484117
53,Teenage Mutant Ninja Turtles III,1499
54,Time of the Gypsies,20123
55,The Age of Innocence,10436
56,For the Moment,37218
57,The Wizard of Speed and Time,44276
58,Untamed Heart,26333
59,Army of Darkness,766
60,The Crying Game,11386
61,Mac,111883
62,The Washing Machine,30881
63,The Baby of Mâcon,5051
64,Ghost in the Machine,41651
65,Macedonian Saga,293142
66,The Flying Machine,864016
67,The Fruit Machine,40927
68,Dream Machine,66469
69,"The Wonderful, Horrible Life of Leni Riefenstahl",41647
70,The Scorsese Machine,461682
71,Time Machine: The Journey Back,288842
72,El Macho,529372
73,Le pioniere della macchina da presa,674835
74,Moskito III - Kampf der Mächte,886090
75,"Mind, Power, Castration",1031680
76,Die Angst Die Macht Die Bilder Des Zauberlehrlings,847805
77,Tri poviedky s Karolom Machatom,730765
78,Rage Against The Machine: Pinkpop Festival,608652
79,Macklean,484700
80,"Macbeth, King of Scoutland",1225717
81,Black Devil,600712
82,El Mariachi,9367
83,Falling Down,37094
84,101 - Falling Down,981105
85,Amos & Andrew,31000
86,Best of the Best 2,32049
87,Angel Terminators 2,162455
88,Mad Dog and Glory,10433
89,Rich in Love,180576
90,Shadow of the Wolf,48918
91,Swing Kids,10419
92,CB4,15278
93,A Far Off Place,24736
94,Fire in the Sky,15613
95,Just Another Girl on the I.R.T.,124088
96,Point of No Return,10498
97,Teenage Mutant Ninja Turtles III,1499
98,Barbarians at the Gate,27678
99,Born Yesterday,44968
100,Hear No Evil,71140
101,Married to It,32083
102,Married Life,340695
103,I Don't Want to Get Married,605837
104,Urban Girl Comes to Get Married,192463
105,The Adventures of Huck Finn,34723
106,Cop and ½,12574
107,The Crush,33408
108,Jack the Bear,38749
109,When a Stranger Calls Back,30554
110,Indecent Proposal,4478
111,The Sandlot,11528
112,"Bodies, Rest & Motion",47676
113,Sidekicks,22590
114,The Positively True Adventures of the Alleged Texas Cheerleader-Murdering Mom,67595
115,Benny & Joon,4104
116,Boiling Point,22213
117,Wide Sargasso Sea,41667
118,The Dark Half,10349
119,Indian Summer,33506
120,This Boy's Life,8092
121,Who's the Man?,25925
122,Man Who Put Idea In,872037
123,Bound by Honor,9702
124,The Night We Never Met,41661
125,Splitting Heirs,20339
126,Three of Hearts,5187
127,American Heart,7015
128,Dave,11566
129,A Bronx Tale,1607
130,Dragon: The Bruce Lee Story,10423
131,Much Ado About Nothing,11971
132,My Neighbor Totoro,8392
133,Daybreak,47945
134,Carnosaur,39283
135,Excessive Force,24227
136,Lost in Yonkers,27224
137,Posse,36233
138,Possession,21484
139,By Satan Possessed: The Search for the Devil,1064871
140,The Chill Factor,124668
141,Hot Shots! Part Deux,9255
142,Hearts of Hot Shots! Part Deux—A Filmmaker's Apology,228939
143,Sliver,867
144,Menace II Society,9516
145,Cliffhanger,9350
146,Happily Ever After,44283
147,Like Water for Chocolate,18183
148,The Long Day Closes,49956
149,Made in America,12121
150,Super Mario Bros.,9607
151,Guilty as Sin,4916
152,Life with Mikey,42580
153,The Music of Chance,39327
154,Orlando,9300
155,Equinox,115565
156,Equinox: Serious Fun,242566
157,Jurassic Park,329
158,The Real Jurassic Park,331984
159,Prehysteria!,79500
160,Last Action Hero,9593
161,Once Upon a Forest,33539
162,Dennis the Menace,12139
163,House of Cards,47095
164,Sleepless in Seattle,858
165,What's Love Got to Do with It,15765
166,Extreme Justice,103201
167,The Firm,37233
