,Title,TMDB_id
0,Billy Jack,21142
1,Fiddler on the Roof,14811
2,Diamonds Are Forever,681
3,Lesson #007: Close Quarters Combat,703083
4,The French Connection,1051
5,Summer of '42,41357
6,Dirty Harry,984
7,Dirty Harry's Way,1009201
8,A Clockwork Orange,185
9,The Last Picture Show,25188
10,Bedknobs and Broomsticks,12335
11,Sweet Sweetback's Baadasssss Song,5822
12,Punishment Park,26513
13,Something Big,196784
14,The Ski Bum,277783
15,Zachariah,65134
16,The Music Lovers,72899
17,10 Rillington Place,26234
18,The Last Valley,42525
19,Carry On Henry,24569
20,Doctors' Wives,200236
21,King Lear,42495
22,How to Frame a Figg,44157
23,Little Murders,27459
24,Raid on Rommel,53657
25,Countess Dracula,39043
26,Cold Turkey,42493
27,One More Train to Rob,142148
28,The Pursuit of Happiness,88583
29,Wanda,80560
30,"Happy Birthday, Wanda June",69218
31,When Eight Bells Toll,38654
32,Get Carter,1485
33,Lawman,42500
34,A New Leaf,36850
35,THX 1138,636
36,Bald: The Making of 'THX 1138',285888
37,Up Pompeii,32116
38,The Andromeda Strain,10514
39,Vanishing Point,11951
40,The Barefoot Executive,20173
41,Making It,209454
42,Making Of A Prostitute,349119
43,Dead Men Don't Make Shadows,148434
44,The Making of the World,444492
45,"Make Love, Not War",413382
46,Brother John,121923
47,Friends,4156
48,"How I Unleashed World War II, Part III: Among Friends",75015
49,Three Friends,272861
50,The Friends,219823
51,Spoken Beween Friends,745981
52,Such Good Friends,118915
53,"Have a Good Funeral, My Friend… Sartana Will Pay",83136
54,Some of My Best Friends Are...,256418
55,Dig Your Grave Friend... Sabata's Coming,8144
56,Too Small My Friend,564315
57,My Friend Robinson,259951
58,Dosti,565927
59,The Deserter,149690
60,Simon of the Desert,36265
61,Desert of Fire,201016
62,Desert Assault,281393
63,New Prison Walls of Abashiri: Snowbound Deserter,495646
64,Treasure of the Lost Desert,917091
65,The Battle of Love's Return,88402
66,Taking Off,59881
67,The Gendarme Takes Off,11913
68,The Take-Off,629096
69,Allow Take-Off!,470055
70,B.S. I Love You,121384
71,The Zodiac Killer,63959
72,The Mephisto Waltz,40158
73,Summer of '42,41357
74,Valdez Is Coming,21242
75,The Blood on Satan's Claw,26774
76,Melody,48207
77,Melody,299136
78,Histoire de Melody Nelson,391426
79,Sweet Sweetback's Baadasssss Song,5822
80,Bananas,11302
81,Three Bananas,396114
82,The Barefoot Executive,20173
83,Love Games People Play in Denmark,265176
84,Pretty Maids All in a Row,69321
85,The Big Doll House,42517
86,Billy Jack,21142
87,Mrs. Pollifax — Spy,172475
88,Plaza Suite,42514
89,Red Sky at Morning,86945
90,Wake in Fright,26405
91,Johnny Got His Gun,16328
92,The Abominable Dr. Phibes,17965
93,Escape from the Planet of the Apes,1687
94,Pink Narcissus,42497
95,Big Jake,21717
96,Support Your Local Gunfighter,18287
97,Villain,30341
98,The Beguiled,31906
99,The Beguiled: The Storyteller,524469
100,The Grissom Gang,79645
101,The Young Graduates,93914
102,The Deadly Trap,140825
103,They Might Be Giants,27841
104,"Drive, He Said",57215
105,Fortune and Men's Eyes,173805
106,Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me?,91607
107,The Anderson Tapes,30941
108,Willard,42532
109,The Panic in Needle Park,27554
110,Scandalous John,104297
111,Le Mans,5920
112,Man and Boy,143682
113,Wild Rovers,42531
114,McCabe & Mrs. Miller,29005
115,Klute,466
116,'Klute' in New York,595617
117,A Town Called Hell,65674
118,The Hellstrom Chronicle,17875
119,Carnal Knowledge,36492
120,The Million Dollar Duck,22777
121,My Old Man's Place,434220
122,What's the Matter with Helen?,42530
123,Willy Wonka & the Chocolate Factory,252
124,Murphy's War,35068
125,Walkabout,36040
126,Sunday Bloody Sunday,45938
127,Shaft,482
128,Soul in Cinema: Filming 'Shaft' on Location,428165
129,Two-Lane Blacktop,27236
130,Vampyros Lesbos,17343
131,The Devils,31767
132,The Devil's Nightmare,58218
133,The Devil with Seven Faces,94744
134,Sex of the Devil,270362
135,Breakfast with the Devil,284220
136,The Devil Came from Akasava,5623
137,Devil's Servants,96353
138,The Devilish Killer,255588
139,The Five Devil Ghost,564172
140,Devil's Hour,689028
141,Angel or Devil?,655414
142,The Blood on Satan's Claw,26774
143,Assault,106046
144,The Deserter,149690
145,The Hunting Party,45007
146,The Light at the Edge of the World,90974
147,Murders in the Rue Morgue,63512
148,The Seven Minutes,5745
149,Seven Minutes to Die,272002
150,The Horsemen,68659
151,On Any Sunday,29251
152,Von Richthofen and Brown,84285
153,The Go-Between,36194
154,The Hunting Party,45007
155,Doc,83147
156,Doctors' Wives,200236
157,Perón: Political Update and Doctrine for the Seizure of Power,255894
158,History of a Document,890830
159,The Moderate Doctor,371064
160,Our Doctor,895248
161,Doctor Who: The Dæmons,437580
162,The Lady Kills,704607
163,Doctor Who: The Mind of Evil,437573
164,Doctor Who: The Claws of Axos,437575
165,Doctor Who: Colony in Space,437578
166,Doctor Who: Terror of the Autons,437381
167,Documentary,1219815
168,O Doce Esporte do Sexo,280801
169,Yester - der Name stimmt doch?,479294
170,The Abominable Dr. Phibes,17965
171,The One-Armed Swordsman,54178
172,Zatoichi Meets the One-Armed Swordsman,24444
173,Slaughter Hotel,27439
174,They Might Be Giants,27841
175,The Omega Man,11234
176,The Last Man Alive: The Omega Man,857010
177,The Love Machine,215538
178,The Mephisto Waltz,40158
179,The Hired Hand,42522
180,Cry Uncle!,89372
181,Fools' Parade,65502
182,Clay Pigeon,387957
183,The Marriage of a Young Stockbroker,176087
184,A Gunfight,71654
185,Let's Scare Jessica to Death,16154
186,See No Evil,39859
187,Return of Sabata,72032
188,Red Sun,11842
189,Been Down So Long It Looks Like Up to Me,86944
190,Kotch,76002
191,Dracula vs. Frankenstein,3125
192,Desperate Characters,92273
193,"Unman, Wittering and Zigo",110419
