,Title,TMDB_id
0,Rain Man,380
1,Who Framed Roger Rabbit,856
2,Coming to America,9602
3,Big,2280
4,The Big Blue,175
5,Big Trouble in Little China,6978
6,The Big Heat,104259
7,Big,57918
8,The Big Fox,68808
9,The Diary of a Big Man,157200
10,Big Business,12710
11,Biggles,22976
12,"Bright Lights, Big City",17170
13,Big Top Pee-wee,30502
14,The Big Store,26182
15,Big Brother Santana's Torn Coat,947461
16,Kamen Rider 1 through RX: Big Gathering,918021
17,The Big Talkers,947456
18,World's Biggest Happy,440041
19,Pound Puppies and the Legend of Big Paw,67761
20,Big Time,44694
21,The Big Turnaround,214736
22,The Big Blue,657524
23,Twins,9493
24,"Twinkle, Twinkle, Lucky Stars",18707
25,The Twin Insect,940951
26,Crocodile Dundee II,9396
27,Die Hard,562
28,The Naked Gun: From the Files of Police Squad!,37136
29,Cocktail,7520
30,Cocktail Molotov,335925
31,Beetlejuice,4011
32,Cop,31701
33,Cop Game,86095
34,The Haunted Cop Shop II,181738
35,Let Sleeping Cops Lie,78405
36,Maniac Cop,14240
37,Rent-a-Cop,80287
38,Lady Cops,120910
39,Stumbling Cops,450848
40,Cops and Desperados,760393
41,Midnight Cop,92772
42,Cops and Robin,1002729
43,Coppers,282245
44,Tough Cops,407734
45,Confessions of an Undercover Cop,1067354
46,"Unde ești, copilărie...",646859
47,Copan Thriller,1103261
48,Bobo Cop,290206
49,II Rzeczpospolita nieznana - COP,1153569
50,Police Story: Cop Killer,626077
51,Overboard,10780
52,The Couch Trip,23752
53,For Keeps,26355
54,Keepers of the Fog,369463
55,Keep Silent,1022561
56,Keep Waiting for Me,127187
57,The Telephone,91445
58,Braddock: Missing in Action III,27352
59,Biggles,22976
60,The Serpent and the Rainbow,11503
61,She's Having a Baby,12714
62,The Unbearable Lightness of Being,10644
63,Action Jackson,10117
64,Satisfaction,17126
65,Thrilled to Death,310843
66,School Daze,36739
67,Shoot to Kill,9717
68,The In Crowd,86231
69,Baja Oklahoma,288118
70,Alien from L.A.,31397
71,Bloodsport,11690
72,Frantic,10675
73,Hairspray,11054
74,A Night in the Life of Jimmy Reardon,47818
75,Doom Asylum,67729
76,And God Created Woman,61651
77,Babette's Feast,11832
78,Moving,29739
79,Moving Target,28606
80,Moving Target,77625
81,Warm Nights on a Slow Moving Train,123625
82,There Was an Unseen Cloud Moving,656952
83,Life Quietly Moves On...,584981
84,The New Wave of Opposition Movements,1200964
85,Firstborn,54752
86,Prison,48309
87,Women's Prison,260334
88,The Prisoner of If Castle,42652
89,Women in Prison,65701
90,Prisoners of Yamagiri Maru,446396
91,It's a Mad Mad Prison,396503
92,Prison of Women,260380
93,The Captive,116350
94,Prisoner of Rio,74572
95,Prisoner of Zenda,79459
96,Ernest Saves Christmas,26386
97,Massacre in Dinosaur Valley,86640
98,Star Slammer,68171
99,Jailbird Rock,80635
100,Pulse,32033
101,Pulse Pounders,199347
102,Fatal Pulse,85166
103,Switching Channels,26798
104,Masquerade,41963
105,Marattam,443704
106,Off Limits,38617
107,Off Limits,1046135
108,Stand and Deliver,29154
109,Vice Versa,26603
110,D.O.A.,9748
111,Little Nikita,12505
112,The Milagro Beanfield War,13482
113,Police Academy 5: Assignment Miami Beach,11825
114,Pound Puppies and the Legend of Big Paw,67761
115,Stars & Bars,129628
116,Top Cat and the Beverly Hills Cats,264364
117,Biloxi Blues,19382
118,Johnny Be Good,20443
119,A New Life,123615
120,A New Leash On Life,726810
121,The Tracker,67933
122,Bush Shrink,354735
123,Beetlejuice,4011
124,"Bright Lights, Big City",17170
125,The Seventh Sign,11082
126,18 Again!,38965
127,Above the Law,9395
128,Bad Dreams,59797
129,Appointment with Death,4281
130,Brain Damage,27814
131,Colors,10126
132,The Color of the Wind,67551
133,PAL or Never The Same Color,1050807
134,Jour de fête: In Search of the Lost Color,477393
135,The Moderns,41971
136,The Man With Modern Nerves,1036085
137,Plain Clothes,55728
138,The Man From Snowy River II,13965
139,The Blue Iguana,164647
140,Casual Sex?,34604
141,Lady in White,49365
142,Permanent Record,51321
143,Return of the Killer Tomatoes!,15482
144,A Time of Destiny,244039
145,Two Moon Junction,5241
146,The Unholy,86680
147,White Mischief,60041
148,Critters 2,10127
149,Da,123605
150,"Eleven Days, Eleven Nights",125157
151,"Salò, or the 120 Days of Sodom",5336
152,Dark Habits,8220
153,Guinea Pig Part 5: Android of Notre Dame,36232
154,Dirty Dancing,88
155,Damnation,20122
156,Kimagure Orange Road: I Want to Return to That Day,186383
157,The Dark Side of Love,80752
158,One Hundred Days in Palermo,48112
159,The Living Daylights,708
160,A Few Days with Me,2025
161,Mr. Moto in Danger Island,59589
162,Dangerous Liaisons,859
163,Near Dark,11879
164,Prince of Darkness,8852
165,Where Eagles Dare,11046
166,Seven Days War,67907
167,Days of Eclipse,45886
168,Daughter of the Nile,99599
169,Powaqqatsi,24348
170,Sunset,38560
171,Sunset Boulevard,599
172,Sunset at Chaopraya,446187
173,Shakedown on the Sunset Strip,357269
174,Shades of Love: Sunset Court,727912
175,The House on Carroll Street,75889
176,Dead Heat,40095
177,"The Good, the Bad and Huckleberry Hound",182217
178,Jack's Back,41959
179,Judgment in Berlin,68752
180,Salsa,38909
181,Shakedown,38558
182,Shakedown on the Sunset Strip,357269
183,Wings of Desire,144
184,Friday the 13th Part VII: The New Blood,10281
185,Maniac Cop,14240
186,The Nest,87710
187,The Living Daylights,708
188,Scooby-Doo! and the Reluctant Werewolf,37211
189,Critters 2,10127
190,Not of This Earth,40028
191,Earthly Joys,896807
192,Earth Defense Girl Iko-chan 2: Lunna's Secret,913049
193,Ariadne auf Naxos,344401
194,Cambiamento d'aria,522606
195,Call Me,41950
196,They Call Me Renegade,11496
197,Nuts,40634
