,Title,TMDB_id
0,E.T. the Extra-Terrestrial,601
1,Tootsie,9576
2,The Making of 'Tootsie',514638
3,An Officer and a Gentleman,2623
4,Rocky III,1371
5,Porky's,10246
6,Star Trek II: The Wrath of Khan,154
7,48 Hrs.,150
8,Poltergeist,609
9,The Making of Poltergeist,984325
10,Leather Poltergeist,847420
11,Supernatural,272100
12,The Best Little Whorehouse in Texas,16363
13,Annie,15739
14,"Lights, Camera, Annie!",823261
15,Annie Sabungera,1047906
16,Death Valley,72574
17,The Seduction,30038
18,Shoot the Moon,52772
19,Vice Squad,63460
20,The Border,22023
21,The Order: Cross the Border,213123
22,Beats of the Heart: Tex-Mex Music of the Texas-Mexican borderlands,452498
23,Across the Border,351617
24,State Border: Vol. 3. Eastern Frontier,488538
25,BORDERLINE,940473
26,Butterfly,34697
27,Curse of the Red Butterfly,420498
28,Underground Wife,482417
29,Night Crossing,58995
30,Personal Best,27609
31,One from the Heart,41291
32,The Making of 'One from the Heart',683033
33,The Amateur,21294
34,The Beast Within,40219
35,Cannery Row,25297
36,Love and Money,66183
37,Making Love,41913
38,Missing,15600
39,Chan Is Missing,14272
40,Missing Children: A Mother's Story,358160
41,Miss Right,286534
42,The Bloody Mission,610042
43,Miss Universe in Peru,106892
44,Quest for Fire,62204
45,The Quest for Fire Adventure,368421
46,Barbarosa,31665
47,Swamp Thing,17918
48,Death Wish II,14373
49,Evilspeak,39868
50,Evil Under the Sun,4193
51,The Making of Agatha Christie's 'Evil Under the Sun',6083
52,Fitzcarraldo,9343
53,I'm Dancing as Fast as I Can,122741
54,Parasite,48311
55,Richard Pryor: Live on the Sunset Strip,21923
56,Deathtrap,17590
57,Victor/Victoria,12614
58,Eating Raoul,28940
59,I Ought to Be in Pictures,42128
60,A Little Sex,65013
61,Cat People,6217
62,Pandemonium,84784
63,Demon's Lair,483736
64,Penitentiary II,65452
65,Silent Rage,27150
66,Some Kind of Hero,37607
67,Basket Case,27813
68,Chan Is Missing,14272
69,"I, the Jury",37191
70,If You Could See What I Hear,210092
71,The Sword and the Sorcerer,13945
72,Tag: The Assassination Game,48313
73,Next of Kin,84993
74,Partners,72340
75,My Partner,455502
76,"So Long, My Partner: Rock Is Sex",742474
77,Partners In Prosperity,358422
78,Soup for One,206820
79,Diner,13776
80,Pennies from Heaven,17450
81,Love and Money,66183
82,Forbidden World,42251
83,Paradise,23942
84,Paradise for All,64344
85,Paradise of Night,479243
86,Dancing Paradise,409129
87,Adventures in Paradise,450208
