,Title,TMDB_id
0,Home Alone,771
1,Ghost,251
2,Ghost,258570
3,Ghostbusters II,2978
4,Erotic Ghost Story,60898
5,A Chinese Ghost Story II,9050
6,Happy Ghost IV,154531
7,Monster Heaven: Ghost Hero,108561
8,Ghost Dad,10485
9,The Ghost Writer,455637
10,Ghost Legend,108367
11,Ming Ghost,228048
12,Wake Up to Kill 3: Peekaboo Headless Ghost,1110939
13,Ghostly Vixen,173123
14,"Don Juan, My Dear Ghost",95994
15,Ghoulish Ghost Mother,421140
16,Widow Ghost,1174651
17,Ghost of the Fox,173118
18,Cheng Chin-i's Ghost Story,378315
19,Love of Ghost,420447
20,Fiery Ghost Story,421466
21,Dances with Wolves,581
22,The Making of 'Dances with Wolves',691992
23,Pretty Woman,114
24,Teenage Mutant Ninja Turtles,1498
25,Teenage Mutant Ninja Turtles: The Coming Out of Their Shells Tour,109394
26,"Operation Blue Line, Starring: Teenage Mutant Ninja Turtles",709599
27,Teenage Mutant Ninja Turtles: The Making of The Coming Out of Their Shells Tour,149492
28,The Hunt for Red October,1669
29,Total Recall,861
30,Die Hard 2,1573
31,The Last Blood,45460
32,Dick Tracy,8592
33,"Dick Tracy: Behind the Badge, Behind the Scenes",1014733
34,Kindergarten Cop,951
35,Henry: Portrait of a Serial Killer,10692
36,Downtown,60778
37,Internal Affairs,11060
38,Leatherface: The Texas Chainsaw Massacre III,25018
39,Ski Patrol,22585
40,Brain Dead,5898
41,Everybody Wins,41816
42,Tremors,9362
43,Flashback,12719
44,"Five Year Diary, Reel 70: Christmas ’89, New Year ’90, Flashbacks and Resolutions (December 23, 1989–February 3, 1990)",791939
45,Heart Condition,41817
46,A Man Called Sarge,87122
47,Men Don't Leave,91217
48,Stella,47329
49,"Welcome Home, Roxy Carmichael",31923
50,Hard to Kill,9569
51,Loose Cannons,24558
52,Stanley & Iris,36094
53,Courage Mountain,43912
54,MadHouse,51036
55,To exprés tou trelokomeíou,400881
56,Revenge,14249
57,A Nightmare on Elm Street Part 2: Freddy's Revenge,10014
58,Halloween 5: The Revenge of Michael Myers,11361
59,A Woman's Revenge,128776
60,Revenge,216046
61,The Revenge of Angel,303501
62,A Father's Revenge,158557
63,Revenge Investigation Line Hot Sand with Murderous Intent (Deduction),1131218
64,Female Teacher Punisher: Goddess of Revenge,935505
65,Young Wife Revenge Sex,1135789
66,Revenge of the Fierce Woman,1131693
67,Revenge Investigation Line Hot Sands of Murderous Intent (Solution),1131467
68,Phantom of the Mall: Eric's Revenge,86326
69,Sweet Revenge,111849
70,The Revenger,122863
71,Revenge of the Radioactive Reporter,89398
72,Revenge of Lady Street Fighter,543072
73,Double Revenge,296504
74,Snake Eater II: The Drug Buster,71201
75,Hammerhead,170087
76,Cinema Paradiso,11216
77,Mountains of the Moon,33796
78,Nightbreed,20481
79,Where the Heart Is,48864
80,The Hunt for Red October,1669
81,Bad Influence,24249
82,Coupe de Ville,39062
83,The Handmaid's Tale,20815
84,House Party,16094
85,Joe Versus the Volcano,2565
86,The Last of the Finest,123770
87,Love at Large,32035
88,Blind Fury,19124
89,Blue Steel,9491
90,R.O.T.O.R.,31127
91,The Forbidden Dance,118430
92,Lambada,117269
93,Lambada,469275
94,¡Qué viva el merengue y la lambada!,411930
95,The Forbidden Dance,118430
96,Lord of the Flies,10847
97,Lord of the Flies,9960
98,Nuns on the Run,11131
99,Pretty Woman,114
100,A Shock to the System,20876
101,Opportunity Knocks,24073
102,Side Out,52741
103,Teenage Mutant Ninja Turtles,1498
104,Teenage Mutant Ninja Turtles: The Coming Out of Their Shells Tour,109394
105,"Operation Blue Line, Starring: Teenage Mutant Ninja Turtles",709599
106,Teenage Mutant Ninja Turtles: The Making of The Coming Out of Their Shells Tour,149492
107,Catchfire,32924
108,"The Cook, the Thief, His Wife & Her Lover",7452
109,Cry-Baby,9768
110,Ernest Goes to Jail,18943
111,The First Power,41374
112,I Love You to Death,3101
113,Impulse,37131
114,In the Spirit,163390
115,The Spirit in Architecture: John Lautner,380927
116,Juliet of the Spirits,19120
117,Triumph of the Spirit,56179
118,The Spirit of TV,552367
119,Mystery of Mount Merapi II: Flower Bead Nyai Spirit,420212
120,Tetsuro Tamba's Great Spirit World 2: I was surprised when I died!!,1131514
121,Spirit of Survival,620196
122,Filth Eating Spirit Bites Ogre,270465
123,Crazy People,16814
124,The Gods Must Be Crazy II,11937
125,Vital Signs,65403
126,Chattahoochee,86763
127,Lisa,95730
128,Alice in Wonderland,12092
129,Miami Blues,14931
130,The Guardian,32043
131,"Abraxas, Guardian of the Universe",37926
132,The Guardian Angel,388516
133,Q & A,31598
134,Ultra Q: Goro and Goro,903866
135,Ultra Q The Movie: Legend of the Stars,319298
136,Spaced Invaders,34086
137,Wild Orchid,5203
138,Last Exit to Brooklyn,12774
139,Short Time,24731
140,Tales from the Darkside: The Movie,20701
141,Without You I'm Nothing,5302
142,The Big Bang,120085
143,The Saint: The Big Bang,542260
144,Class of 1999,23535
145,Far Out Man,25111
146,Longtime Companion,39934
147,A Show of Force,26426
148,Bird on a Wire,1727
149,Cadillac Man,10164
150,Strapless,120640
151,Swordsman,18860
152,Back to the Future Part III,196
153,Fire Birds,6470
154,Jesus of Montreal,4486
155,Frankenhooker,27274
156,Total Recall,861
157,Another 48 Hrs.,11595
158,Deceptions,224526
159,Dick Tracy,8592
160,"Dick Tracy: Behind the Badge, Behind the Scenes",1014733
161,Gremlins 2: The New Batch,928
162,Betsy's Wedding,18913
163,RoboCop 2,5549
164,Days of Thunder,2119
165,Day of Thunder,459669
166,Ghost Dad,10485
167,Die Hard 2,1573
168,The Last Blood,45460
169,Jetsons: The Movie,17009
170,The Adventures of Ford Fairlane,9548
171,Ghost,251
172,Ghost,258570
173,Ghostbusters II,2978
174,Erotic Ghost Story,60898
175,A Chinese Ghost Story II,9050
176,Happy Ghost IV,154531
177,Monster Heaven: Ghost Hero,108561
178,Ghost Dad,10485
179,The Ghost Writer,455637
180,Ghost Legend,108367
181,Ming Ghost,228048
182,Wake Up to Kill 3: Peekaboo Headless Ghost,1110939
183,Ghostly Vixen,173123
184,"Don Juan, My Dear Ghost",95994
185,Ghoulish Ghost Mother,421140
186,Widow Ghost,1174651
187,Ghost of the Fox,173118
188,Cheng Chin-i's Ghost Story,378315
189,Love of Ghost,420447
190,Fiery Ghost Story,421466
191,The Invisible Maniac,28340
192,Quick Change,10729
193,Arachnophobia,6488
194,The Freshman,10168
195,Navy Seals,427910
196,Blood Oath,70942
197,Chicago Joe and the Showgirl,27450
198,Presumed Innocent,11092
199,Problem Child,11077
200,Young Guns II,9086
201,DuckTales: The Movie - Treasure of the Lost Lamp,10837
202,Metropolitan,15389
203,Die Walküre,256868
204,Das Rheingold,210643
205,Siegfried,256869
206,Götterdämmerung,290030
207,Mo' Better Blues,41823
208,Air America,11856
209,Flatliners,1551
210,The Two Jakes,32669
211,The Exorcist III,11587
212,My Blue Heaven,16384
213,My Blue Heaven,627783
214,Taking Care of Business,6393
215,Wild at Heart,483
216,Pump Up the Volume,8428
217,"After Dark, My Sweet",25501
218,Darkman,9556
219,Delta Force 2: The Colombian Connection,19086
220,Dreams,12516
221,Making of 'Dreams',412365
222,Field of Dreams,2323
223,A Paucity of Flying Dreams,467424
224,Stubborn Dreams,683848
225,Baby Dreams at the Automobile Factory,738322
226,The Crown of Dreams,620105
227,Interpretation of Dreams,844569
228,Summer Dreams: The Story of the Beach Boys,254891
229,Shattered Dreams,273515
230,Dream One,249836
231,Sea of Dreams,1062418
