,Title,TMDB_id
0,Raiders of the Lost Ark,85
1,The Making of 'Raiders of the Lost Ark',362198
2,Great Movie Stunts: Raiders of the Lost Ark,362197
3,On Golden Pond,11816
4,Superman II,8536
5,Arthur,13665
6,Port Arthur,315559
7,Arthur in the Countryside,636219
8,Arthur Erickson,954055
9,Arthur the Kid,1088601
10,Excalibur,11527
11,Stripes,10890
12,The Cannonball Run,11286
13,Chariots of Fire,9443
14,For Your Eyes Only,699
15,The Four Seasons,25113
16,The Four Seasons,626690
17,Time Bandits,36819
18,Scream,85191
19,Screams in the Night,108065
20,Night Screams,419616
21,Frozen Scream,84375
22,America Screams,530647
23,Your World Dies Screaming,664764
24,Possession,21484
25,Island of the Fishmen,27905
26,Scanners,9538
27,Blood Beach,37843
28,Nightmare,40368
29,Zombie Flesh Eaters,7219
30,Earthbound,344084
31,The Incredible Shrinking Woman,12472
32,"Fort Apache, the Bronx",23668
33,My Bloody Valentine,39874
34,Sphinx,47890
35,Sphinx Awake,448529
36,American Pop,29204
37,Charlie Chan and the Curse of the Dragon Queen,66592
38,Eyewitness,31679
39,All Night Long,140413
40,Land of Fire All Night Long,386599
41,The Devil and Max Devlin,40866
42,Maniac,27346
43,On the Right Track,80388
44,Back Roads,61653
45,The Funhouse,13555
46,Modern Romance,63443
47,Amy,217977
48,Cutter's Way,31593
49,The Final Conflict,10768
50,The Postman Always Rings Twice,11027
51,Eyes of a Stranger,79649
52,Thief,11524
53,The Phantom Thief Nezumi Kozo and the Tattooed Judge,954880
54,The Phantom Thief,349945
55,Ana and the Thief,626852
56,A Horse Thief's Daughter,555351
57,Image of the Beast,190544
58,Atlantic City,23954
59,Hardly Working,130724
60,This Is Elvis,109264
61,Nighthawks,21610
62,Excalibur,11527
63,The Making of Excalibur: Myth into Movie,464604
64,Going Ape!,75963
65,The Howling,11298
66,Making a Monster Movie: Inside 'the Howling',881317
67,"Call of the Wild: Howl, Buck",461929
68,Knightriders,22167
69,Caveman,18905
70,Lion of the Desert,26843
71,Cattle Annie and Little Britches,167262
72,The Hand,42149
73,The Possessed Hand,1136848
74,Hitman in the Hand of Buddha,58348
75,The Ups and Downs of a Handyman,269426
76,The Third Hand,1246253
77,Hands Up!,154399
78,Hands Up!,470326
79,Women's Hands,334131
80,Talking Hands of Travancore,1000531
81,Yellow Handkerchief,235511
82,Little Hands,1099465
83,Crippled Avengers,40081
84,The Cub Tiger from Kwang Tung,34800
85,Who Finds a Friend Finds a Treasure,6399
86,The Crippled Masters,54858
87,Enter the Game of Death,74522
88,Citizens Band,85325
89,Götz von Berlichingen mit der eisernen Hand,162893
90,The Secret Rivals 3,232608
91,All Around Service,399665
92,Ms .45,22171
93,Night School,54118
94,Take This Job and Shove It,42371
95,Friday the 13th Part 2,9725
96,Graduation Day,27420
97,King of the Mountain,75048
98,Image of the Beast,190544
99,The Burning,24124
100,To Burn The Sun,491859
101,The Saga of Burnt Njál,517790
102,The Lost Jade Incense Burner,572172
103,Burn,1166134
104,The Blazing Valiant,388500
105,Lady Chatterley's Lover,35685
106,The Fan,74899
107,The Fantastic Adventures of Unico,38563
108,Fantastic Planet,16306
109,Fantasia on The Childhood of Busoni,738145
110,Frigid Fantasies,415371
111,This Fantastic World 4,1255160
112,This Fantastic World 6,1255175
113,This Fantastic World 5,1255168
114,Fangs,327815
115,The Burning,24124
116,The Funhouse,13555
117,The 36th Chamber of Shaolin,11841
118,Phantasm,9638
119,Divine Emanuelle,39919
120,The Crazy Chase,402702
121,The Ghost of the Lake,678036
122,Heroes Two,88633
123,Happy Birthday to Me,37936
124,Death Hunt,26444
125,Bustin' Loose,31361
126,The Four Seasons,25113
127,The Four Seasons,626690
128,The Legend of the Lone Ranger,38665
129,Outland,10540
130,Dead & Buried,24274
131,The Night the Lights Went Out in Georgia,75596
132,Polyester,14269
133,Nice Dreams,20075
134,Final Exam,40469
135,Tuck Everlasting,91538
136,Clash of the Titans,10323
137,History of the World: Part I,10156
138,Raiders of the Lost Ark,85
139,The Making of 'Raiders of the Lost Ark',362198
140,Great Movie Stunts: Raiders of the Lost Ark,362197
141,The Cannonball Run,11286
142,Superman II,8536
143,Dragonslayer,848
144,For Your Eyes Only,699
145,The Great Muppet Caper,14900
146,Roadgames,43089
147,Stripes,10890
148,S.O.B.,27225
149,Escape from New York,1103
150,The Fox and the Hound,10948
151,The Fox and the Hound: A Lesson in Caution,639541
152,Arthur,13665
153,Port Arthur,315559
154,Arthur in the Countryside,636219
155,Arthur Erickson,954055
156,Arthur the Kid,1088601
157,Excalibur,11527
158,Endless Love,19114
159,"Zorro, The Gay Blade",19317
160,Blow Out,11644
161,Eye of the Needle,10863
162,Wolfen,10725
163,Escape to Victory,17360
164,Under the Rainbow,47941
165,Condorman,19379
166,Gallipoli,11646
167,Heavy Metal,11827
168,Student Bodies,21515
169,Tarzan the Ape Man,26325
170,Adieu Galaxy Express 999,59717
171,Deadly Blessing,33016
172,An Eye for an Eye,42566
173,Sleepless Eyes,334222
174,Pendulum Eye Exercise,1085953
175,The Walls Have Eyes,660382
176,Me In His Eyes,724218
177,Keep Your Eyes Open!,360178
178,They All Laughed,31921
179,An American Werewolf in London,814
180,First Monday in October,85058
181,Honky Tonk Freeway,47871
182,Prince of the City,32047
183,Body Heat,14412
184,Chu Chu and the Philly Flash,58442
185,Hell Night,28377
186,Night of the Zombies,21380
187,Private Lessons,41280
188,Continental Divide,26560
189,Das Boot,387
190,Das Boot: Behind The Scenes,875386
191,The Boat Is Full,42140
192,The French Lieutenant's Woman,12537
193,The South Bank Show: The French Lieutenant's Woman,481918
194,Mommie Dearest,15660
195,Raggedy Man,96966
196,Rich and Famous,109962
197,The Boogens,33721
198,Carbon Copy,53922
199,Only When I Laugh,42146
200,So Fine,84735
201,Southern Comfort,12528
202,True Confessions,32077
203,Enter the Ninja,17205
204,Paternity,54660
205,Zoot Suit,76397
206,Full Moon High,107430
207,Tattoo,69169
208,The Kid with a Tattoo,67003
209,The Phantom Thief Nezumi Kozo and the Tattooed Judge,954880
210,My Dinner with Andre,25468
211,Just Before Dawn,39982
212,The Evil Dead,764
213,Don't Go Near the Park,27566
214,...All the Marbles,30709
215,Galaxy of Terror,28893
216,Nightmare,40368
217,"Butcher, Baker, Nightmare Maker",67740
218,The Nightmare Woman,346215
219,A Bride's Nightmare,187721
220,The Nightmare Man,224630
221,Halloween II,11281
222,The Demon,85188
223,Silence of the North,293483
224,Halloween II,11281
225,Looker,21874
226,Shock Treatment,27997
227,Death of a Centerfold: The Dorothy Stratten Story,83974
228,The Prowler,44247
229,Fantasies,194697
230,Frigid Fantasies,415371
231,Fantasies: Animation of Vermont Schoolchildren,935448
232,Schoolgirl Report Part 12: If Mom Only Knew...,70640
233,Time Bandits,36819
234,Porky's,10246
235,Going Steady,10581
236,The Pursuit of D.B. Cooper,45226
237,"The Looney, Looney, Looney Bugs Bunny Movie",41394
238,Ragtime,25566
