,index,Released,English title,TMDB_id
140,16,2001-02-16,Recess: School's Out,19405
141,18,2001-02-16,Sweet November,1921
142,19,2001-02-23,3000 Miles to Graceland,12138
143,20,2001-02-23,Monkeybone,23685
144,21,2001-02-24,Boycott,205361
145,24,2001-03-02,See Spot Run,39180
146,29,2001-03-16,Elling,6007
147,31,2001-03-16,Exit Wounds,10877
148,33,2001-03-23,The Brothers,20322
149,34,2001-03-23,Heartbreakers,10833
150,37,2001-03-30,Someone Like You,12658
151,39,2001-03-30,The Tailor of Panama,2575
152,40,2001-03-30,Tomcats,10646
153,0,2001-04-04,Yamakasi,6935
154,1,2001-04-06,Along Came a Spider,2043
155,3,2001-04-06,Just Visiting,56715
156,7,2001-04-11,Kingdom Come,38803
157,8,2001-04-13,Bridget Jones's Diary,634
158,11,2001-04-20,Freddy Got Fingered,13166
159,13,2001-04-27,Driven,10477
160,14,2001-04-27,The Forsaken,12484
161,17,2001-04-27,Town & Country,24113
162,18,2001-04-28,61*,20536
163,19,2001-05-04,Mockingbird Don't Sing,27967
164,20,2001-05-04,The Mummy Returns,1734
165,22,2001-05-11,A Knight's Tale,9476
166,24,2001-05-18,Angel Eyes,5852
167,25,2001-05-18,Shrek,808
168,26,2001-05-19,Conspiracy,12900
169,29,2001-06-01,The Animal,11090
170,33,2001-06-08,Bride of the Wind,56934
171,34,2001-06-08,Evolution,9397
172,35,2001-06-08,Swordfish,9705
173,36,2001-06-08,Y tu mamá también,1391
174,41,2001-06-22,Dr. Dolittle 2,10808
175,42,2001-06-22,The Fast and the Furious,9799
176,44,2001-06-27,Baby Boy,16161
177,45,2001-06-29,A.I. Artificial Intelligence,644
178,46,2001-06-29,Crazy/Beautiful,10691
179,47,2001-06-29,Pootie Tang,10615
180,0,2001-07-04,Cats & Dogs,10992
181,1,2001-07-04,Scary Movie 2,4248
182,2,2001-07-06,Kiss of the Dragon,2140
183,6,2001-07-13,Legally Blonde,8835
184,7,2001-07-13,Made,15745
185,8,2001-07-13,The Score,11371
186,9,2001-07-18,Jurassic Park III,331
187,11,2001-07-20,Ghost World,1548
188,12,2001-07-20,Hedwig and the Angry Inch,13403
189,14,2001-07-27,Wet Hot American Summer,2171
190,16,2001-08-03,Karumadikkuttan,534672
191,19,2001-08-03,The Princess Diaries,9880
192,20,2001-08-03,Rush Hour 2,5175
193,21,2001-08-10,All Over the Guy,21055
194,22,2001-08-10,American Pie 2,2770
195,23,2001-08-10,Osmosis Jones,12610
196,25,2001-08-11,Dinner with Friends,24625
197,26,2001-08-17,American Outlaws,13496
198,28,2001-08-17,Rat Race,9896
199,30,2001-08-24,Bubble Boy,9683
200,32,2001-08-24,Ghosts of Mars,10016
201,37,2001-08-31,O,11065
202,38,2001-09-07,Megiddo: The Omega Code 2,30379
203,39,2001-09-07,The Musketeer,11370
204,42,2001-09-07,Two Can Play That Game,25462
205,43,2001-09-14,The Glass House,2176
206,44,2001-09-14,Hardball,20857
