,Title,TMDB_id
0,Return of the Jedi,1892
1,Classic Creatures: Return of the Jedi,72804
2,Terms of Endearment,11050
3,Flashdance,535
4,Trading Places,1621
5,WarGames,860
6,Octopussy,700
7,Sudden Impact,10650
8,Staying Alive,10805
9,Mr. Mom,13105
10,Risky Business,9346
11,Xtro,25834
12,Lianna,78177
13,The House on Sorority Row,40229
14,Treasure of the Four Crowns,90816
15,Sacred Ground,208500
16,The Entity,24740
17,One Dark Night,37935
18,Videodrome,837
19,Without a Trace,47944
20,"""BLOW THE NIGHT!"" Let's Spend the Night Together",327217
21,Let's Spend the Night Together,85910
22,The King of Comedy,262
23,Local Hero,11235
24,The South Bank Show: 'Local Hero',622178
25,The Making of a 'Local Hero' (With a Little Help from His Friends),640442
26,Lovesick,71357
27,The Pirates of Penzance,15716
28,The Sting II,36912
29,Table for Five,266331
30,Betrayal,139383
31,Lowly Ronin 6: Betrayal at Yatate Pass,383365
32,Baby It's You,42103
33,Curtains,67087
34,Pink Curtain 3,961459
35,Reign Behind a Curtain,293289
36,My Tutor,2193
37,Tender Mercies,42121
38,10 to Midnight,18587
39,Trenchcoat,84831
40,High Road to China,19606
41,Eddie Macon's Run,35834
42,Bad Boys,13633
43,The Black Stallion Returns,24883
44,Max Dugan Returns,1793
45,The Outsiders,227
46,The Outsider,12504
47,Spring Break,21148
48,Tough Enough,38556
49,Monty Python's The Meaning of Life,4543
50,Heart Like a Wheel,34599
51,Screwballs,25164
52,Conquest,27232
53,Flashdance,535
54,Liquid Sky,20980
55,Lone Wolf McQuade,14854
56,Exposed,107246
57,The Deadly Spawn,40059
58,Losin' It,33676
59,The Hunger,11654
60,The House of Hunger,796704
61,Something Wicked This Way Comes,24808
62,Valley Girl,19053
63,The Final Terror,4288
64,Blade Violent,45233
65,Velvet Hands,63274
66,National Lampoon's Vacation,11153
67,The Under-Gifted In Vacation,51925
68,The Night of Varennes,42131
69,A Friend of Vincent,197485
70,Once Upon a Time in the West,335
71,Voyage in Time,47011
72,Far from Vietnam,36140
73,Vengeance Is Mine,42170
74,Vertigo,426
75,French Fried Vacation,11183
76,Village of Doom,303146
77,The Voracious Ones,225553
78,Videodrome,837
79,Christiane F.,9589
80,Vincent,32085
81,Valley Girl,19053
82,City of the Living Dead,24920
83,Uncommon Valor,9967
84,Still Smokin,12695
85,Doctor Detroit,23096
86,Blue Thunder,6341
87,Deadly Eyes,49332
88,Nostalgia,1394
89,The Moon in the Gutter,47489
90,Bill Cosby: Himself,20120
91,Eureka,37943
92,Spacehunter: Adventures in the Forbidden Zone,26978
93,Return of the Jedi,1892
94,Classic Creatures: Return of the Jedi,72804
95,Chained Heat,18406
96,The Man with Two Brains,11591
97,Psycho II,10576
98,WarGames,860
99,Trading Places,1621
100,Octopussy,700
101,Superman III,9531
102,The Survivors,28466
103,Porky's II: The Next Day,19698
104,Twilight Zone: The Movie,15301
105,Yellowbeard,11609
106,Stroker Ace,19258
107,Class,21500
108,Class of 1984,11564
109,Class Enemy,384598
110,Classic Creatures: Return of the Jedi,72804
111,"Walt Disney Cartoon Classics, Volume 3: Scary Tales",862972
112,Lyman H. Howe's High Class Moving Pictures,998249
113,Tron,97
114,Superman III,9531
115,Mickey's Christmas Carol,14813
116,Moonlighting,42134
117,Fear No Evil,91817
118,Kharij,133751
119,Agries plakes sta thrania,446294
120,Staying Alive,10805
121,Zelig,11030
122,Jaws 3-D,17692
123,The Making of Jaws 3-D: Sharks Don't Die,751375
124,Mr. Mom,13105
125,Krull,849
126,National Lampoon's Vacation,11153
127,Private School,18835
128,Daffy Duck's Movie: Fantastic Island,80607
129,Get Crazy,29628
130,Risky Business,9346
131,The Star Chamber,12633
132,Twice Upon a Time,36751
133,Cujo,10489
134,Curse of the Pink Panther,36576
135,The Man Who Wasn't There,29610
136,Smokey and the Bandit Part 3,15120
137,Prisoners of the Lost Universe,70500
138,Easy Money,18391
139,Metalstorm: The Destruction of Jared-Syn,47364
140,"Yor, the Hunter from the Future",38219
141,Daniel,55819
142,Jean-Marie Straub and Danièle Huillet at Work on a Film Based on Franz Kafka’s Amerika,254964
143,Now and Forever,270483
144,Fire and Ice,15035
145,Hercules,26452
146,Hercules the Avenger,135067
147,Strange Brew,12921
148,Young Warriors,30642
149,Yao's Young Warriors,587833
150,Escape from the Bronx,69152
151,"Merry Christmas, Mr. Lawrence",11948
152,The Oshima Gang,558320
153,Mortuary,44859
154,Mortuary,1264828
155,Streamers,66487
156,Nightmares,42114
157,Heat and Dust,67794
158,Revenge of the Ninja,17386
159,Strange Invaders,47892
160,Vigilante,23587
161,The Conversation,592
162,Savior of the Earth,81927
163,Eddie and the Cruisers,21721
164,Pieces,47886
165,Sept pièces pour cinéma noir et blanc,216756
166,Missing Pieces,804824
167,Sales Pitch,211412
168,The Big Chill,12560
169,Brainstorm,15050
170,Going Berserk,24772
171,The Honorary Consul,69007
172,The Lonely Lady,114394
173,Never Cry Wolf,14280
174,Never Say Never Again,36670
175,Romantic Comedy,77074
176,Tiger Town,101866
177,All the Right Moves,18172
178,The Dead Zone,11336
179,The Right Stuff,9549
180,Rumble Fish,232
181,Under Fire,12503
182,Educating Rita,38291
183,The Wicked Lady,110683
184,National Lampoon's Movie Madness,33782
185,Deal of the Century,20545
186,The Osterman Weekend,12239
187,Running Brave,50566
188,Testament,21259
189,Star 80,30707
190,Unico in the Island of Magic,38565
191,Amityville 3-D,27214
192,The Being,73218
193,Beauty in Rope Hell,185689
194,The Beyond,19204
195,Pauline at the Beach,10293
196,"That Day, on the Beach",106373
197,Life Is a Bed of Roses,63978
198,Ringing Bell,77859
199,Beauty and the Beast,70349
200,Quarter to Two Before Jesus Christ,49398
201,My Best Friend's Girl,64504
202,"Young, Beautiful... Probably Rich",194958
203,Beauty Rope Cosmetology,185708
204,Double Bed,403364
205,The Beautiful Prisoner,104338
206,My Memories of Old Beijing,195237
207,To Begin Again,81346
208,The Beast and the Magic Sword,29909
209,Beauty and the Beast,38839
210,Don't Believe the Cry of a Night Bird,1109132
211,Pick Up Your Belongings,79748
212,A Christmas Story,850
213,The Gift of Love: A Christmas Story,153918
214,Nate and Hayes,35432
215,A Night in Heaven,5686
216,Sleepaway Camp,13567
217,The Day After,7012
218,The Day after Tomorrow at Midnight,532970
219,"Five Year Diary, Reel 34: Doctor Who Convention and the Day After (November 19–December 6, 1983)",765997
220,Of Unknown Origin,37227
221,The Big Score,107007
222,The Smurfs and the Magic Flute,53566
223,The Gambler: The Adventure Continues,154068
224,Sahara,47808
225,The Dresser,42122
226,Christine,8769
227,A Question of Silence,96529
228,Christine and Linda Go Skating,1257948
229,Hostage,147632
230,Scarface,111
231,Sudden Impact,10650
232,Terms of Endearment,11050
233,Yentl,10269
234,Silkwood,12502
235,D.C. Cab,27679
236,"Reuben, Reuben",31944
237,The Keep,26198
238,Keep Off The Grass,923982
239,Keep Waiting for Me,127187
240,The Plague Dogs,30060
241,The Man Who Loved Women,69928
242,To Be or Not to Be,22998
243,Two of a Kind,32644
244,Two of a Kind,105410
245,Uncommon Valor,9967
246,Uncommon Valor,358165
247,Seeding of a Ghost,40070
248,The Makioka Sisters,42116
