,index,Released,English title,TMDB_id
0,0,2023-01-06,Familia,1015464
1,1,2023-01-06,We Make Antiques! Osaka Dreams,1033908
2,2,2023-01-06,Trapped Balloon,1010554
3,3,2023-01-06,Thorns of Beauty,1025438
4,4,2023-01-13,Ichikei's Crow: The Movie,1025301
5,5,2023-01-13,Natchan's Little Secret,1066938
6,6,2023-01-13,And So I'm at a Loss,1019436
7,7,2023-01-13,Angry Son,951476
8,10,2023-01-27,The Legend and Butterfly,990365
9,11,2023-01-27,Gold Kingdom and Water Kingdom,991190
10,12,2023-01-27,The Lump in My Heart,1030241
11,14,2023-02-03,"Baian the Assassin, M.D.",1083538
12,15,2023-02-03,Scroll,1069166
13,16,2023-02-03,Demon Slayer: Kimetsu no Yaiba – To the Swordsmith Village,1067282
14,17,2023-02-10,Egoist,1027273
15,19,2023-02-10,Revice Forward: Kamen Rider Live & Evil & Demons,1017796
16,20,2023-02-10,Sin Clock,1060042
17,21,2023-02-17,Blue Giant,887870
18,22,2023-02-17,Shylock's Children,1019661
19,24,2023-02-23,Yudō,1029486
20,25,2023-02-23,Call Me Chihiro,1024621
21,26,2023-02-23,"Sayonara, Girls.",1007327
22,27,2023-02-23,Ultraman Decker Finale: Journey to Beyond,1053626
23,28,2023-02-24,Red Shoes,996729
24,29,2023-03-03,"And Yet, You Are So Sweet",1029484
25,30,2023-03-03,Doraemon: Nobita's Sky Utopia,1030587
26,31,2023-03-10,In Her Room,1025442
27,33,2023-03-10,Winny,1034220
28,34,2023-03-17,As Long as We Both Shall Live,1037348
29,35,2023-03-17,Downfall,1042140
30,36,2023-03-17,Shin Kamen Rider,813477
31,38,2023-03-24,"Brats, Be Ambitious!",1030245
32,39,2023-03-24,Gridman Universe,915403
33,40,2023-03-24,Do Unto Others,1044171
34,41,2023-03-31,Nemesis: The Movie,1029479
35,42,2023-03-31,Rakudai Majo,883095
36,0,2023-04-07,Princess Principal: Crown Handler – Chapter 3,893250
37,1,2023-04-07,"Baian the Assassin, M.D. 2",1112842
38,3,2023-04-07,My Beautiful Man: Eternal,1064662
39,4,2023-04-14,Detective Conan: Black Iron Submarine,1047041
40,6,2023-04-14,Side by Side,1076535
41,7,2023-04-21,Tokyo Revengers 2: Bloody Halloween Part 1,1057872
42,8,2023-04-21,The Village,1038515
43,9,2023-04-28,Tokyo MER: Mobile Emergency Room: The Movie,961256
44,10,2023-04-28,Okiku and the World,1063241
45,12,2023-05-03,Avataro Sentai Donbrothers VS Zenkaiger,1092060
46,13,2023-05-05,Father of the Milky Way Railroad,1062844
47,14,2023-05-12,Adulthood Friends,1120461
48,15,2023-05-12,Psycho-Pass Providence,1012652
49,16,2023-05-12,Go! Go! Sakura Club,1145920
50,17,2023-05-19,Hard Days,995206
51,20,2023-05-20,Idolish7: Live 4bit – Beyond the Period,1108298
52,21,2023-05-26,The Feast of Amrita,725064
53,22,2023-05-26,Rohan at the Louvre,1069813
54,23,2023-05-26,Spring in Between,1115736
55,24,2023-05-26,Ripples,1062910
56,25,2023-06-02,Monster,1050035
57,26,2023-06-02,The Dry Spell,968146
58,27,2023-06-09,The Water Flows to the Sea,1053101
59,28,2023-06-09,Mentai Piriri: Flower of Pansy,1194990
60,31,2023-06-16,Black Clover: Sword of the Wizard King,812225
61,32,2023-06-16,Immersion,1114205
62,34,2023-06-23,"We're Broke, My Lord!",1126444
63,35,2023-06-23,Insomniacs After School,1022042
64,36,2023-06-23,Rascal Does Not Dream of a Sister Venturing Out,1056803
65,37,2023-06-23,River,1138476
66,38,2023-06-30,Tokyo Revengers 2: Bloody Halloween Part 2,1057873
67,39,2023-06-30,Life of Mariko in Kabukicho,1017441
68,40,2023-06-30,Mountain Woman,1026913
