,Title,TMDB_id
0,3 Men and a Baby,12154
1,Three Men and a Cradle,4180
2,Fatal Attraction,10998
3,Beverly Hills Cop II,96
4,"Good Morning, Vietnam",801
5,Moonstruck,2039
6,The Untouchables,117
7,The Secret of My Success,10021
8,Stakeout,10859
9,Lethal Weapon,941
10,The Witches of Eastwick,6069
11,Assassination,48686
12,The Man Who Assassinated Ryoma,703047
13,The Assassins,1256669
14,War Dog,80762
15,The Kindred,48660
16,J. Edgar Hoover,431090
17,The Private Files of J. Edgar Hoover,107938
18,The Bedroom Window,39074
19,Critical Condition,31563
20,Wanted: Dead or Alive,23599
21,The Stepfather,25155
22,Allan Quatermain and the Lost City of Gold,9710
23,Outrageous Fortune,20242
24,Radio Days,30890
25,Black Widow,19345
26,Dead of Winter,70199
27,From the Hip,24081
28,Light of Day,2115
29,84 Charing Cross Road,15677
30,Mannequin,10019
31,Over the Top,1825
32,Death Before Dishonor,62185
33,Square Dance,79615
34,A Nightmare on Elm Street 3: Dream Warriors,10072
35,Number One with a Bullet,169832
36,Some Kind of Wonderful,15143
37,The Quick and the Dead,26939
38,Angel Heart,635
39,Lethal Weapon,941
40,Evil Dead II,765
41,Tin Men,10896
42,Raising Arizona,378
43,Burglar,38921
44,The Burglar,142779
45,Hollywood Shuffle,34101
46,Street Smart,60631
47,Police Academy 4: Citizens on Patrol,10587
48,Making Mr. Right,32058
49,The Secret of My Success,10021
50,Three for the Road,116064
51,Project X,18410
52,Project A: Part II,21521
53,Rumpelstiltskin,67058
54,Wild Thing,85798
55,The Last Innocent Man,291308
56,G.I. Joe: The Movie,17421
57,Extreme Prejudice,20287
58,My Demon Lover,51521
59,The Allnighter,37818
60,American Ninja 2: The Confrontation,25678
61,Creepshow 2,16288
62,Malone,27342
63,Gardens of Stone,28368
64,Hot Pursuit,14464
65,River's Edge,21309
66,Sweet Lorraine,279795
67,The Gate,6917
68,Gates of Silence,327563
69,Ishtar,12704
70,Personal Services,44201
71,Conspiracy: The Trial of the Chicago 8,257600
72,Beverly Hills Cop II,96
73,Amazing Grace and Chuck,74340
74,The Chipmunk Adventure,21793
75,Ernest Goes to Camp,18935
76,Long Gone,88231
77,Cyclone,81573
