,Title,TMDB_id
0,Kramer vs. Kramer,12102
1,The Amityville Horror,11449
2,Rocky II,1367
3,Star Trek: The Motion Picture,152
4,Alien,348
5,Giger's Alien,454788
6,Alien Portrait,820362
7,The Alien Encounters,98401
8,Alien: Experience in Terror,1167579
9,Starship Invasions,42542
10,Apocalypse Now,28
11,10,9051
12,Mama Turns 100,107288
13,Force 10 from Navarone,17339
14,Island of 1000 Delights,220688
15,No. 10 street at sunset,350510
16,Ihr 106. Geburtstag,364775
17,10 Women 10,813314
18,TURN POINT 10:40,1148351
19,Quiet Riot Starwood Club Hollywood CA 10-26-1979,170888
20,"Wilmington 10 -- U.S.A. 10,000",594800
21,100 m selili kammerorkestri saatel,1215500
22,The Spy Who Loved Me,691
23,When a Stranger Calls,45964
24,Breakout,31671
25,Beyond the Darkness,5425
26,Arabian Adventure,82430
27,Ten Tigers of Kwangtung,59405
28,Fast Company,38493
29,Bionic Boy,340198
30,The Uranium Conspiracy,244219
31,The Jerk,6471
32,Moonraker,698
33,Moonraker: 007 in Rio,685332
34,The Muppet Movie,11176
35,Take Down,401945
36,Richard Pryor: Live in Concert,22975
37,Love on the Run,259
38,Run... I Love You,584686
39,ABBA: The Movie,14336
40,The First Great Train Robbery,11583
41,Agatha,31200
42,Death on the Nile,4192
43,Hardcore,42172
44,Murder by Decree,34374
45,The North Avenue Irregulars,65156
46,Quintet,45169
47,The Warriors,11474
48,Children of the Warriors,378022
49,Warriors of the Sacred Temple,147407
50,Street Warriors II,132001
51,Galaxy Express 999: Can You Live Like a Warrior!!,687383
52,A Warrior's Fighting Spirit,1158827
53,The Daredevils,66238
54,Eighteen Women Fighters of Murim,348744
55,Fast Break,50377
56,The Passage,51543
57,Alien,348
58,Norma Rae,40842
59,The Odd Angry Shot,29582
60,Real Life,33250
61,Starcrash,22049
62,The Promise,109251
63,Promises in the Dark,118083
64,Bruce Tuan 7-Promise,292308
65,Hair,10654
66,"I've Got You, You've Got Me by the Chin Hairs",71629
67,The Woman with Red Hair,88931
68,Golden Hair,307041
69,Tourist Trap,13570
70,Voices,184781
71,Voices of Young Japan,1050543
