,Title,TMDB_id
0,Blazing Saddles,11072
1,The Towering Inferno,5919
2,The Trial of Billy Jack,83980
3,Young Frankenstein,3034
4,Earthquake,11123
5,Israel: After the Earthquake,1225533
6,The Godfather Part II,240
7,Airport 1975,27932
8,The Life and Times of Grizzly Adams,112323
9,The Longest Yard,4985
10,Murder on the Orient Express,4176
11,"Ladies & Gentlemen, the Rolling Stones",47246
12,McQ,26185
13,The Satanic Rites of Dracula,35669
14,The Arena,29039
15,The Castle of Sand,29268
16,Luther,213635
17,Rhinoceros,39194
18,Black Belt Jones,18257
19,The Bat People,28159
20,The Street Fighter,40810
21,Return of the Street Fighter,40812
22,The Street Fighter's Last Revenge,40813
23,Sister Street Fighter,47313
24,Sister Street Fighter: Hanging by a Thread,50632
25,Zardoz,4923
26,Blazing Saddles,11072
27,Sugar Hill,54008
28,Thieves Like Us,31656
29,Crazy Joe,107444
30,Alien Thunder,98387
31,From Beyond the Grave,48014
32,Busting,84209
33,Man on a Swing,131437
34,Billy Two Hats,32143
35,Three Tough Guys,96132
36,Catch My Soul,258471
37,Conrack,30702
38,Mame,35275
39,Jack and the Beanstalk,34052
40,The Great Gatsby,11034
41,The Night Porter,26648
42,The Golden Voyage of Sinbad,17897
43,The Sugarland Express,5121
44,Foxy Brown,22048
45,Captain Kronos: Vampire Hunter,18979
46,The Conversation,592
47,Conversation Piece,56142
48,Our Time,174162
49,Thomasine & Bushrod,95966
50,Lovin' Molly,172340
51,Caged Heat,39775
52,Son of Dracula,13013
53,The Beast Must Die,40218
54,The Beast Shall Die,344704
55,Claudine,55909
56,Lone Wolf and Cub: White Heaven in Hell,41486
57,The Apprenticeship of Duddy Kravitz,42451
58,The Spikes Gang,38152
59,The Lords of Flatbush,38925
60,Frankenstein and the Monster from Hell,3117
61,Symptoms,110412
62,Stavisky...,61296
63,Alice in the Cities,2204
64,The Black Windmill,32050
65,Dirty Mary Crazy Larry,19017
66,That's Entertainment!,33740
67,Zandy's Bride,96337
68,Identikit,93510
69,Chosen Survivors,85236
70,Daisy Miller,4703
71,The Nickel Ride,40793
72,Thunderbolt and Lightfoot,8348
73,Huckleberry Finn,75141
74,Hopelessly Lost,27923
75,Welcome to Arrow Beach,49351
76,"Birds Do It, Bees Do It",129193
77,Bootleggers,149631
78,White Lightning,4984
79,Herbie Rides Again,10869
80,Little Malcolm and His Struggle Against the Eunuchs,82921
81,The Midnight Man,116138
82,The Parallax View,17365
83,Chinatown,829
84,Chinatown Capers,232663
85,The Terminal Man,32940
86,Where the Red Fern Grows,26514
87,The Groove Tube,27977
88,The Nine Lives of Fritz the Cat,14683
89,For Pete's Sake,31901
90,Three the Hard Way,63340
91,Truck Turner,22121
92,The Dion Brothers,85127
93,S*P*Y*S,35405
94,ESPY,211341
95,Once Upon a Time in the West,335
96,W,333125
97,"Watch Out, We're Mad",6916
98,The Way of the Dragon,9462
99,Don't Look Now... We're Being Shot At!,8290
100,Schoolgirl Report Part 3: What Parents Find Unthinkable,36885
101,Weekend,8075
102,Three Wishes for Cinderella,8703
103,Cries and Whispers,10238
104,Lone Wolf and Cub: White Heaven in Hell,41486
105,99 Women,28277
106,The Wonderful World of Puss 'n Boots,58704
107,Valerie and Her Week of Wonders,46315
108,Lone Wolf and Cub: Baby Cart to Hades,41474
109,"Aguirre, the Wrath of God",2000
110,From Russia with Love,657
111,The Man with the Golden Gun,682
112,Alice in Wonderland,12092
113,Scent of a Woman,47848
114,What Have You Done to Solange?,6591
115,Down and Dirty Duck,90110
116,Oliver Twist,53148
117,Carry On Dick,26327
118,Mr. Majestyk,26173
119,The Take,119364
120,The People Who Take Up Serpents,547097
121,Take It Easy,38374
122,Bruce Takes Dragon Town,312890
123,Fiddler on the Roof,14811
124,Karlsson on the Roof,30576
125,The Mad Adventures of Rabbi Jacob,760
126,My Name Is Nobody,9474
127,The Education of Sonny Carson,54440
128,Golden Needles,149464
129,The White Dawn,6966
130,Death Wish,13939
131,Gone in 60 Seconds,16246
132,The Internecine Project,86600
133,Cockfighter,27658
134,Uptown Saturday Night,29464
135,The Bank Shot,97313
136,The Bears and I,103698
137,The Castaway Cowboy,80351
138,California Split,32044
139,Together Brothers,86574
140,Macon County Line,42450
141,Harry and Tonto,42448
142,Bring Me the Head of Alfredo Garcia,11942
143,11 Harrowhouse,42268
144,Act of Vengeance,66765
145,Buster and Billie,84450
