,index,Released,English title,TMDB_id
0,0,2022-01-06,Book of Love,892835
1,1,2022-01-14,The House,926899
2,2,2022-01-14,Save the Cinema,790386
3,9,2022-02-09,Death on the Nile,505026
4,13,2022-03-18,The Nan Movie,647808
5,1,2022-04-15,Choose or Die,838484
6,4,2022-05-20,Enys Men,740049
7,5,2022-05-20,Men,780609
8,0,2022-07-01,Mr. Malcolm's List,716532
9,3,2022-07-15,The Railway Children Return,826680
10,6,2022-08-19,Fisherman's Friends: One and All,684006
11,17,2022-09-09,See How They Run,766475
12,18,2022-09-10,A Gaza Weekend,935902
13,2,2022-10-06,The Origin,1043288
14,7,2022-11-18,Scrooge: A Christmas Carol,1001865
15,8,2022-12-02,Your Christmas or Mine?,865559
16,9,2022-12-16,The Honeymoon,871547
