,Title,TMDB_id
0,Love Story,9062
1,A Swedish Love Story,31304
2,Subject for a Short Story,382582
3,Airport,10671
4,"Airports, Airplane and South America Streets",820236
5,Perfect Friday,91583
6,Matar El Hob,725805
7,M*A*S*H,651
8,Mr. & Mrs. Smith,24197
9,There's a Girl in My Soup,42599
10,Patton,11202
11,The Aristocats,10112
12,Woodstock,9459
13,Little Big Man,11040
14,Ryan's Daughter,38953
15,Ryan's Daughter Featurette,1234093
16,Tora! Tora! Tora!,11165
17,Tora-san's Runaway,251428
18,Tora-san's Grand Scheme,201044
19,"Tora-san, His Tender Love",250451
20,Catch-22,10364
21,Scream and Scream Again,42594
22,Jenny,280133
23,Lust Combo,548295
24,The Adventures of Gerard,225155
25,Tick... Tick... Tick...,85255
26,Sexbombe mit Tick,529020
27,Last of the Mobile Hot Shots,117999
28,The Dunwich Horror,65891
29,The Only Game in Town,84481
30,M*A*S*H,651
31,Mr. & Mrs. Smith,24197
32,There's a Girl in My Soup,42599
33,The Molly Maguires,42345
34,The Kremlin Letter,45817
35,The Honeymoon Killers,10237
36,Start the Revolution Without Me,19753
37,Patton,11202
38,Zabriskie Point,2998
39,End of the Road,151679
40,The Party at Kitty and Stud's,4255
41,King of the Grizzlies,98348
42,Hercules in New York,5227
43,Loving,92269
44,Carry On Loving,24570
45,The Lovemakers,67061
46,A Swedish Love Story,31304
47,Loving in Marghera (The Kiss),1038674
48,Love Is Colder Than Death,12482
49,Love Is a Funny Thing,73824
50,Dial Love for Murder,5626
51,Symphony of Love,207474
52,Love and Anger,49456
53,Midnight of Love,208933
54,Loving Memory,54218
55,Love 600,210722
56,The Invisible Man's Love Life,27700
57,Erotic Love-Games,516002
58,Versatile Lovers,3696
59,"With What Love, With What Love",208940
60,"Tora-san, His Tender Love",250451
61,Scream of the Demon Lover,173044
62,Copacabana My Love,192568
63,Airport,10671
64,"Airports, Airplane and South America Streets",820236
65,Perfect Friday,91583
66,Matar El Hob,725805
67,Skullduggery,273554
68,The Boys in the Band,34377
69,The Ballad of Cable Hogue,23330
70,The Liberation of L.B. Jones,95556
71,Bloody Mama,31581
72,King: A Filmed Record... Montgomery to Memphis,149320
73,The Adventurers,106326
74,The Scandalous Adventures of Buraikan,213692
75,Adventures of Tarapunka and Shtepsel,535878
76,The Adventures of Gerard,225155
77,Zorro's Latest Adventure,218598
78,Adventures of Mowgli: The Fight,195080
79,The Adventures of Pinocchio,489447
80,Signals: A Space Adventure,2863
81,The Adventures of the Yellow Suitcase,85355
82,The Adventures of a Little Cucumber,1250700
83,The Adventures of Zadig,836235
84,Hurrah for Adventure!,564076
85,Woodstock,9459
86,Waterloo,33157
87,Colossus: The Forbin Project,14801
88,The Cockeyed Cowboys of Calico County,115309
89,Halls of Anger,90722
90,Brotherly Love,144279
91,"Hi, Mom!",42589
92,Zig Zag,84496
93,Zig Zag – Remember the Rules,359844
94,A Man Called Horse,14676
95,The Grasshopper,47646
96,Equinox,28681
97,Taste the Blood of Dracula,29748
98,Leo the Last,77333
99,"Tell Me That You Love Me, Junie Moon",78355
100,Getting Straight,42588
101,Getting It Straight in Notting Hill Gate,654222
102,Let It Be,20556
103,Let's Have a Riot,59104
104,Let Them Live!,948852
105,"My Lover, My Son",4373
106,The Delta Factor,55514
107,The Landlord,64828
108,One More Time,33733
109,One More Time Before I Die,395610
110,Oddly Coupled,369577
111,Suppose They Gave a War and Nobody Came?,144910
112,Too Late the Hero,31935
113,Norwood,86373
114,Beneath the Planet of the Apes,1685
115,Cotton Comes to Harlem,59917
