,Title,TMDB_id
0,The Exorcist,9552
1,Daddy's Deadly Darling,89351
2,The Sting,9277
3,The Insolent,106410
4,The Flower with Petals of Steel,105145
5,When Taekwondo Strikes,122880
6,American Graffiti,838
7,Papillon,5924
8,Papillons,394613
9,Leptirica,220638
10,The Way We Were,10236
11,Magnum Force,10648
12,Live and Let Die,253
13,Robin Hood,11886
14,Long Live Robin Hood,280028
15,Wolfshead: The Legend of Robin Hood,281261
16,Paper Moon,11293
17,Serpico,9040
18,The No Mercy Man,105503
19,The Offence,32615
20,Battles Without Honor and Humanity,34326
21,Battles Without Honor and Humanity: Proxy War,52874
22,Battles Without Honor and Humanity: Deadly Fight in Hiroshima,52980
23,Manson,54505
24,"Black Mama, White Mama",28797
25,The Death of a Lumberjack,171219
26,The Love Ban,338653
27,Adolf Hitler - My Part in His Downfall,20418
28,Last Tango in Paris,1643
29,Shamus,4989
30,Steelyard Blues,74057
31,The World's Greatest Athlete,33331
32,Wattstax,2261
33,Black Caesar,22029
34,The Train Robbers,40682
35,The Harder They Come,7514
36,The Creeping Flesh,42469
37,Jory,215398
38,Save the Tiger,38714
39,Nothing But the Night,29596
40,Payday,80911
41,Turkish Delight,21035
42,Walking Tall,25473
43,Lolly-Madonna XXX,114953
44,Blood Brothers,64363
45,Charlotte's Web,15171
46,The Thief Who Came to Dinner,92299
47,Baxter !,235078
48,Slither,87417
49,The Long Goodbye,1847
50,Ludwig,3478
51,Ludwig – Requiem for a Virgin King,198605
52,Karajan dirigiert Beethovens fünfte Symphonie,506042
53,Theodor Hierneis oder Wie man ehem. Hofkoch wird,268191
54,Schlock,54123
55,The Vault of Horror,53868
56,The Baby,28156
57,Lone Wolf and Cub: Baby Cart in the Land of Demons,41482
58,Lone Wolf and Cub: Baby Cart to Hades,41474
59,Resented Spirit of Baby Bride Groom,322609
60,Baba Yaga,55689
61,Tom Sawyer,42473
62,Tom Sawyer,598299
63,The Crazies,29425
64,I Will Walk Like a Crazy Horse,104242
65,The Crazy Westerners,46568
66,Mean Frank and Crazy Tony,90094
67,Crazy Season,233988
68,The Crazy Capo Affair,318672
69,Crazy Desire,418966
70,"This crazy, crazy Buenos Aires",880912
71,Lost Horizon,97519
72,Two People,255449
73,Godspell,43158
74,Charley and the Angel,103711
75,Sisters,22307
76,Sisters!,1212373
77,"Brother Sun, Sister Moon",2587
78,Japan's Pleasure District: Three Sisters at a Turkish Bath,963912
79,Sisters,656426
80,The Sister of the San-Tung Boxer,560146
81,The Nun and the Devil,105865
82,The Black Bunch,104784
83,Black Snake,5656
84,Kamouraska,66962
85,Ace Eli and Rodger of the Skies,280129
86,The Mack,29515
87,The MacKintosh Man,32627
88,Theatre of Blood,28498
89,The Serpent,44607
90,Class of '44,89545
91,Book of Numbers,90095
92,Scarecrow,31587
93,The Iron Rose,84473
94,Tiffany Jones,163997
95,The Candy Snatchers,39889
96,Bequest to the Nation,342945
97,Charley-One-Eye,83831
98,Love and Pain and the Whole Damn Thing,46941
99,Scorpio,42738
100,Female Prisoner Scorpion: Beast Stable,35282
101,The Case of the Scorpion's Tail,16825
102,Female Prisoner Scorpion: #701's Grudge Song,55379
103,Scorpio Rising,46787
104,"Scorpio, Virgo and Sagittarius",245785
105,Dirty Harry,984
106,Soylent Green,12101
107,A Look at the World of 'Soylent Green',974730
108,Ganja & Hess,83096
109,Messiah of Evil,24923
110,And Now the Screaming Starts!,42455
111,Guns of a Stranger,445063
112,Father Dear Father,209979
113,Hitler: The Last Ten Days,47536
114,Paper Moon,11293
115,The Harrad Experiment,2988
116,Little Laura and Big John,4903
117,Jeremy,61574
118,The Day of the Jackal,4909
119,The Hireling,80382
120,Pat Garrett & Billy the Kid,11577
121,Terror in the Wax Museum,185495
122,A Doll's House,42457
123,A Doll's House,230361
124,A Doll's House,76592
125,The Bamboo House of Dolls,40029
126,Day for Night,1675
127,Days and Nights in the Forest,35867
128,The Night of the Last Day,585085
129,"17th Parallel, Nights and Days",336847
130,Emperor of the North,31943
131,The Blockhouse,71840
132,Little Cigars,59228
133,Cannibal Girls,58411
134,"Wicked, Wicked",86494
135,End of the Wicked Tigers,459816
136,The Last of Sheila,26331
137,The Last of Sheila Featurette,1021085
138,Battle for the Planet of the Apes,1705
139,Idaho Transfer,74836
140,Interval,215800
141,Intervals,217698
142,Interview with Salvador Allende: Power and Reason,326218
143,The Legend of Hell House,16180
144,Coffy,22021
145,Blume in Love,109259
146,O Lucky Man!,42464
147,One Little Indian,45827
148,Shaft in Africa,494
149,Showdown,85648
150,Showdown,280123
151,The Grand Duel,61594
152,A Touch of Class,42458
153,The Friends of Eddie Coyle,25680
154,Live and Let Die,253
155,40 Carats,42456
156,The Man Who Loved Cat Dancing,42472
157,Belladonna of Sadness,64847
158,Oklahoma Crude,147106
159,Cahill: United States Marshall,30708
160,Blue Blood,156094
161,Murder in a Blue World,29333
162,Cleopatra Jones,26196
163,Lady Ice,304816
164,Anna and the Wolves,107287
165,Sssssss,70345
166,Dillinger,28110
167,Time of the Wolves,190920
168,Badge 373,92389
169,The MacKintosh Man,32627
170,No Sex Please: We're British,131047
171,The Last American Hero,31605
172,The Boy Who Cried Werewolf,94542
173,Maurie,399405
174,The Naked Ape,208333
175,Blackenstein,3162
176,The Neptune Factor,62754
177,Heavy Traffic,30593
178,The Stone Killer,26202
179,Stranger from Canton,60121
180,White Lightning,4984
181,Gordon's War,43077
182,Night Watch,40387
183,American Graffiti,838
184,Cops and Robbers,88359
185,Jesus Christ Superstar,12545
186,"Happy Mother's Day, Love George",113132
187,Westworld,2362
188,On Location with Westworld,723974
189,Electra Glide in Blue,26332
190,Enter the Dragon,9461
191,Location: Hong Kong with Enter the Dragon,861813
192,High Plains Drifter,11901
193,Bang the Drum Slowly,42459
194,I Escaped from Devil's Island,84363
195,Chino,73984
196,La Chinoise,1629
197,Hapkido,36682
198,The Chinese Boxer,62762
199,The Angry Guest,187378
200,Kung Fu Brothers in the Wild West,157002
