,index,Released,English title,TMDB_id
143,2,1991-01-11,Ski School,21811
144,5,1991-01-18,Eve of Destruction,45096
145,6,1991-01-18,Flight of the Intruder,18886
146,7,1991-01-18,Men of Respect,96171
147,8,1991-01-18,Once Around,39233
148,9,1991-01-18,White Fang,12227
149,11,1991-01-26,Prison Stories: Women on the Inside,220243
150,13,1991-02-01,Popcorn,39875
151,14,1991-02-01,Queens Logic,49792
152,15,1991-02-01,Run,48129
153,16,1991-02-08,L.A. Story,2107
154,18,1991-02-08,Rosencrantz & Guildenstern Are Dead,18971
155,20,1991-02-14,The Silence of the Lambs,274
156,21,1991-02-15,King Ralph,10804
157,22,1991-02-15,Nothing but Trouble,11933
158,24,1991-02-22,"He Said, She Said",17956
159,25,1991-02-22,Scenes from a Mall,47762
160,26,1991-03-01,The Doors,10537
161,27,1991-03-01,My Heroes Have Always Been Cowboys,122937
162,29,1991-03-06,Closet Land,58648
163,31,1991-03-08,The Hard Way,11384
164,33,1991-03-08,New Jack City,10952
165,34,1991-03-15,Class Action,15771
166,35,1991-03-15,Guilty by Suspicion,22423
167,36,1991-03-15,If Looks Could Kill,22434
168,37,1991-03-15,The Perfect Weapon,34421
169,38,1991-03-15,True Colors,13571
170,39,1991-03-16,The Josephine Baker Story,88614
171,40,1991-03-22,Defending Your Life,12186
172,42,1991-03-22,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1497
173,43,1991-03-29,Career Opportunities,16270
174,45,1991-03-29,The Five Heartbeats,29475
175,0,1991-04-05,Hangin' with the Homeboys,74395
176,1,1991-04-05,The Marrying Man,31633
177,2,1991-04-12,Impromptu,17990
178,3,1991-04-12,Out for Justice,14362
179,4,1991-04-12,The Object of Beauty,88818
180,5,1991-04-19,Drop Dead Fred,10379
181,6,1991-04-19,Mortal Thoughts,30815
182,7,1991-04-20,One Man's War,195759
183,8,1991-04-26,A Kiss Before Dying,31696
184,9,1991-04-26,Oscar,11890
185,11,1991-04-26,Talent for the Game,41164
186,14,1991-05-03,One Good Cop,71142
187,15,1991-05-03,A Rage in Harlem,41780
188,16,1991-05-03,"Truly, Madly, Deeply",18317
189,18,1991-05-10,Madonna: Truth or Dare,10174
190,19,1991-05-10,Sweet Talker,52774
191,20,1991-05-10,Switch,10261
192,21,1991-05-11,Fever,294261
193,22,1991-05-17,What About Bob?,10276
194,23,1991-05-17,Mannequin Two: On the Move,34376
195,24,1991-05-17,Stone Cold,21338
196,25,1991-05-24,Backdraft,2924
197,27,1991-05-24,Only the Lonely,2611
198,28,1991-05-24,Thelma & Louise,1541
199,29,1991-05-24,Wild Hearts Can't Be Broken,23438
200,31,1991-05-31,Soapdish,25562
201,32,1991-06-07,City Slickers,1406
202,34,1991-06-07,Don't Tell Mom the Babysitter's Dead,15413
203,35,1991-06-07,Jungle Fever,1713
204,38,1991-06-14,Robin Hood: Prince of Thieves,8367
205,39,1991-06-16,Without Warning: The James Brady Story,124034
206,41,1991-06-21,The Rocketeer,10249
207,42,1991-06-21,Where Angels Fear to Tread,59704
208,43,1991-06-28,The Naked Gun 2½: The Smell of Fear,37137
209,0,1991-07-03,Problem Child 2,28597
210,1,1991-07-03,Terminator 2: Judgment Day,280
211,2,1991-07-05,Slacker,14022
212,4,1991-07-12,Boyz n the Hood,650
213,7,1991-07-19,Bill & Ted's Bogus Journey,1649
214,8,1991-07-19,Dutch,25330
215,9,1991-07-20,Doublecrossed,97357
216,10,1991-07-24,The Doctor,26142
217,11,1991-07-26,Another You,23303
218,13,1991-07-26,Mobsters,21219
219,14,1991-07-26,V.I. Warshawski,41805
220,15,1991-07-27,A Brighter Summer Day,15804
221,17,1991-07-31,Hot Shots!,9595
222,18,1991-08-02,Body Parts,32146
223,19,1991-08-02,Doc Hollywood,11821
224,21,1991-08-02,Return to the Blue Lagoon,13888
225,22,1991-08-09,Bingo,16790
226,23,1991-08-09,Delirious,28117
227,25,1991-08-09,Pure Luck,19065
228,26,1991-08-14,The Commitments,11663
229,27,1991-08-16,Mystery Date,53027
