,index,English title,Released,TMDB_id
123,53, Life   is   Cool ,2008-06-12,316337
124,55, A   Light   Sleep ,2008-10-23,17693
125,56," Like   Father ,  Like   Son ",2008-06-12,489785
126,57, Lineage   of   the   Voice ,2008-09-18,1212871
127,58, Little   Prince ,2008-01-17,297267
128,59, Loner ,2008-09-18,91237
129,60, Lost   and   Found ,2008-12-17,137517
130,61, Lovers ,2008-12-04,348802
131,62, Lovers   of   Six   Years ,2008-02-05,18464
132,64, Mandate ,2008-10-30,50143
133,65, Manner   of   Battle ,2008-04-17,540296
134,66, Marriage   Clinic :  Love   and   War ,2008-09-25,418207
135,67, Modern   Boy ,2008-10-02,290075
136,68, The   Moonlight   of   Seoul ,2008-04-30,69383
137,70, My   Dear   Enemy ,2008-09-25,19482
138,71, My   Friend   and   His   Wife ,2008-11-27,52582
139,73, My   Mighty   Princess ,2008-06-26,19627
140,74, My   New   Partner ,2008-03-06,52436
141,75, My   Song   Is ,2008-04-25,664813
142,76, My   Wife   Got   Married ,2008-10-23,52435
143,77, Night   and   Day ,2008-02-28,57859
144,78, Nowhere   to   Turn ,2008-08-21,41178
145,80, Once   Upon   a   Time   in   Seoul ,2008-11-06,65880
146,81, One   Day   on   the   Road ,2008-03-27,467296
147,82, Open   City ,2008-01-10,24037
148,83, Our   School ' s   E . T ,2008-09-11,48828
149,84, Out   of   My   Intention ,2008-03-20,834753
150,85, The   Past   is   a   Strange   Country ,2008-03-06,118172
151,86, Phill   Soong   Ver  2.0 -  The   Song   on   the   Road  필승必勝  Ver ,2008-06-06,1036761
152,87, Portrait   of   a   Beauty ,2008-11-13,60192
153,88, Public   Enemy   Returns ,2008-06-19,65337
154,89, Radio   Dayz ,2008-01-31,258955
155,90, Ride   Away ,2008-08-07,52442
156,91, Romantic   Island ,2008-12-24,76619
157,92, Rough   Cut ,2008-09-11,17593
158,93, Sa - kwa ,2008-10-16,25912
159,94, Santamaria ,2008-07-10,373548
160,95, Scandal   Makers ,2008-12-03,18384
161,96, A   Secret   Scandal ,2008-03-27,416531
162,98, Sleeping   Beauty ,2008-10-23,108008
