,index,Released,English title,TMDB_id
143,1,2021-11-10,Tomb of the River,752886
144,2,2021-11-17,Perhaps Love,599331
145,3,2021-11-24,Romance Without Love,736545
146,6,2021-12-29,A Year-End Medley,821661
147,0,2022-01-05,The Policeman's Lineage,610321
148,1,2022-01-12,Special Delivery,606403
149,2,2022-01-26,Kingmaker,573787
150,3,2022-01-26,The Pirates: The Last Royal Treasure,591120
151,4,2022-02-11,Love and Leashes,760517
152,5,2022-02-23,Serve the People,743814
153,7,2022-03-23,Hot Blooded,599333
154,0,2022-04-07,The Girl on a Bulldozer,783127
155,1,2022-04-08,Yaksha: Ruthless Operations,606402
156,2,2022-04-20,Anchor,626129
157,3,2022-04-21,The Novelist's Film,928713
158,4,2022-04-22,Air Murder,731684
159,5,2022-04-27,Urban Myths,957154
160,6,2022-04-27,I Want to Know Your Parents,629322
161,7,2022-04-27,When Spring Comes,821156
162,8,2022-04-28,Boogie Nights,940164
163,9,2022-05-11,Piggy Back,959249
164,10,2022-05-18,The Roundup,619803
165,11,2022-05-25,Good Morning,820435
166,12,2022-05-26,Hommage,878974
167,14,2022-06-08,Broker,736732
168,15,2022-06-08,2037,833593
169,16,2022-06-15,The Witch: Part 2. The Other One,615173
170,17,2022-06-16,Mother and Daughter,956733
171,18,2022-06-22,My Perfect Roommate,956759
172,19,2022-06-29,Decision to Leave,705996
173,0,2022-07-13,The Killer: A Girl Who Deserves to Die,938008
174,1,2022-07-20,Alienoid,601796
175,2,2022-07-27,Hansan: Rising Dragon,588108
176,3,2022-08-03,Emergency Declaration,626872
177,4,2022-08-05,Carter,800345
178,5,2022-08-10,Hunt,727340
179,6,2022-08-24,6/45,821153
180,7,2022-08-26,Seoul Vibe,773867
181,8,2022-08-31,Limit,718289
182,9,2022-08-31,Semantic Error: The Movie,993885
183,10,2022-09-07,Confidential Assignment 2: International,736820
184,11,2022-09-15,Oh! My Ghost,795295
185,12,2022-09-21,Project Wolf Hunting,799379
186,14,2022-09-28,Honest Candidate 2,795276
187,15,2022-09-28,Life Is Beautiful,616670
188,0,2022-10-05,Come Back Home,817557
189,3,2022-10-26,Confession,634595
190,4,2022-10-26,Remember,633374
191,5,2022-11-02,The Highway Family,886430
192,6,2022-11-03,Walk Up,1002470
193,7,2022-11-16,Ditto,962489
194,8,2022-11-16,Decibel,774548
195,9,2022-11-23,The Night Owl,806128
196,10,2022-11-30,Men of Plastic,717090
197,11,2022-12-14,The Haunted House: The Dimensional Goblin and the Seven Worlds,1051393
198,12,2022-12-21,Hero,602464
199,13,2022-12-28,Gentleman,848198
200,0,2023-01-04,Switch,773910
