,index,English title,Released,TMDB_id
112,57,Yoake no Machi de,2011-10-08,104790
113,59,Hara-Kiri: Death of a Samurai,2011-10-15,85836
114,60,Tamatama,2011-10-15,129239
115,61,Karate-Robo Zaborgar,2011-10-15,85656
116,62,Messiah,2011-10-15,713028
117,64,Smuggler,2011-10-22,93096
118,65,Cheerfu11y,2011-10-22,420544
119,66,Saudade,2011-10-22,141653
120,68,Once in a Blue Moon,2011-10-29,130023
121,71,Hara ga Kore Nande,2011-11-05,92473
122,72,Kaiji 2,2011-11-05,106417
123,75,Share House,2011-11-12,1078761
124,76,Antoki no Inochi,2011-11-19,121725
125,77,Kami Voice,2011-11-19,383262
126,80,Kisei Jūi Suzune,2011-11-26,260015
127,82,Kokkuri-san: Gekijoban,2011-11-26,925119
128,84,Crossroads,2011-12-03,147979
129,85,K-On!,2011-12-03,120811
130,86,Lost Harmony,2011-12-03,450784
131,87,Genji Monogatari: Sennen no Nazo,2011-12-10,146309
132,88,Kamen Rider × Kamen Rider Fourze & OOO: Movie War Mega Max,2011-12-10,188198
133,89,Being Mitsuko,2011-12-17,620798
134,90,Friends: Mononoke Shima no Naki,2011-12-17,180272
135,91,Ōsama Game,2011-12-17,125162
136,92,Wild 7,2011-12-21,112134
137,93,Rengō Kantai Shirei Chōkan: Yamamoto Isoroku,2011-12-23,131739
138,0,Magic Tree House,2012-01-07,126710
139,1,Quartet!,2012-01-07,1053601
140,2,Ryūjin Mabuyer The Movie Nanatsu no Mabui,2012-01-07,326319
141,5,Hasami,2012-01-14,328077
142,7,Robo-G,2012-01-14,123873
143,8,.hack//The Movie,2012-01-21,128253
144,9,Always Sanchōme no Yūhi '64,2012-01-21,121239
145,10,Kaizoku Sentai Gokaiger vs. Space Sheriff Gavan: The Movie,2012-01-21,200424
146,11,Documentary of AKB48: Show must go on,2012-01-27,273401
147,13,Shiawase no Pan,2012-01-28,135598
148,15,The Wings of the Kirin,2012-01-28,122734
149,16,Arakawa Under the Bridge,2012-02-04,142386
150,20,Shinobido,2012-02-04,112227
151,23,Dragon Age: Dawn of the Seeker,2012-02-11,103173
152,24,Gyakuten Saiban,2012-02-11,91694
153,26,Hayabusa: Harukanaru Kikan,2012-02-11,230628
154,27,Life Is Dead,2012-02-11,434713
155,29,Afro Tanaka,2012-02-18,124505
156,30,Ikiterumono wa Inainoka,2012-02-18,127539
157,31,POV: Norowareta Film,2012-02-18,119885
158,33,Love Police,2012-02-25,614709
159,34,Zombie Ass,2012-02-25,101733
160,36,Doraemon: Nobita to Kiseki no Shima ~Animal Adventure~,2012-03-03,160642
161,37,Liar Game: Saisei,2012-03-03,133977
162,40,Okaeri Hayabusa,2012-03-10,243757
163,44,Ouran High School Host Club,2012-03-17,152752
164,45,Pretty Cure All Stars: NewStage Mirai no Tomodachi,2012-03-17,120422
165,46,Strike Witches,2012-03-17,44667
166,50,Ultraman Saga,2012-03-24,139717
167,58,SPEC: Ten,2012-04-07,137936
168,64,A Letter to Momo,2012-04-21,100271
169,65,Bokura ga Ita (Part 2),2012-04-21,129745
170,66,Kamen Rider × Super Sentai: Super Hero Taisen,2012-04-21,241697
171,69,X Game 2,2012-04-21,417169
172,71,Thermae Romae,2012-04-28,105210
173,72,Chronicle of My Mother,2012-04-28,129609
174,73,Uchū Kyōdai,2012-05-05,127535
175,77,Sadako 3D,2012-05-12,140441
176,78,Niji-Iro Hotaru: Eien no Natsu Yasumi,2012-05-19,186969
177,80,Kotsutsubo,2012-05-26,230210
178,82,My House,2012-05-26,273448
179,84,Blood-C: The Last Dark,2012-06-02,171823
180,85,Gaiji Keisatsu,2012-06-02,328099
181,86,The Final Judgement,2012-06-02,249100
182,87,Hotaru no Hikari,2012-06-09,152753
183,90,Ai to Makoto,2012-06-16,110430
184,93,Berserk Golden Age Arc II: The Battle for Doldrey,2012-06-23,118412
185,95,Rinjo: Gekijoban,2012-06-30,167936
186,96,Gusukobudori no Denki,2012-07-07,118408
187,99,Soup: Umarekawari no Monogatari,2012-07-07,431675
188,101,Chihiro Iwasaki: 27-sai no Tabidachi,2012-07-14,468282
189,102,Helter Skelter,2012-07-14,104524
190,103,Kueki Ressha,2012-07-14,139102
191,105,Magical Girl Lyrical Nanoha The Movie 2nd A's,2012-07-14,181522
192,106,Paikaji Nankai Sakusen,2012-07-14,327527
193,107,The Wolf Children Ame and Yuki,2012-07-21,110420
194,108,Eight Ranger,2012-07-28,305724
195,110,Road to Ninja: Naruto the Movie,2012-07-28,118406
196,112,Another,2012-08-04,129743
197,114,The Kirishima Thing,2012-08-11,175041
198,115,Jewelpet the Movie: Sweets Dance Princess,2012-08-11,118404
199,116,Fairy Tail the Movie: The Phoenix Priestess,2012-08-18,135531
200,118,Anata e,2012-08-25,147999
201,119,Ai Ore!,2012-08-25,174414
202,120,Rurouni Kenshin,2012-08-25,127533
203,121,Ushijima the Loan Shark,2012-08-25,293202
204,125,Hitori Kakurenbo,2012-09-01,1136344
205,127,Bakugyaku Famiglia,2012-09-08,232445
206,128,Yume Uru Futari,2012-09-08,121796
207,131,Tenchi Meisatsu,2012-09-15,163870
208,132,Bingo,2012-09-22,737708
209,136,Asura,2012-09-29,181656
210,147,Land of Hope,2012-10-20,110396
211,148,Fuse Teppō Musume no Torimonochō,2012-10-20,204755
212,149,Space Sheriff Gavan: The Movie,2012-10-20,168608
213,150,009 Re:Cyborg,2012-10-27,127544
214,152,A Terminal Trust,2012-10-27,201043
215,153,Nobo no Shiro,2012-11-02,209032
216,155,Ogon O Daite Tobe,2012-11-03,209521
217,156,Lesson of the Evil,2012-11-10,120852
218,158,Yukuefumei,2012-11-10,880370
219,159,Evangelion 3.0,2012-11-17,75629
220,160,Sono Yoru no Samurai,2012-11-17,135799
221,164,Good Morning Everyone!,2012-12-15,350786
222,165,One Piece: Film Z,2012-12-15,176983
223,166,Yōkai Ningen Bem,2012-12-15,204086
224,167,Odayaka na Nichijo,2012-12-22,153789
