,index,Released,English title,TMDB_id
0,1,1980-01-18,Just Tell Me What You Want,184799
1,2,1980-01-18,Windows,83857
2,5,1980-01-30,To All a Goodnight,85181
3,7,1980-02-01,Fatso,38922
4,8,1980-02-01,Simon,55792
5,10,1980-02-08,Hero at Large,44004
6,11,1980-02-08,The Fog,790
7,13,1980-02-08,Midnight Madness,17971
8,16,1980-02-15,Cruising,27958
9,18,1980-02-15,Saturn 3,19761
10,21,1980-02-29,Don't Answer the Phone,40102
11,22,1980-02-29,Foxes,32020
12,23,1980-02-29,The Ninth Configuration,18910
13,25,1980-03-07,Coal Miner's Daughter,16769
14,28,1980-03-14,Defiance,179798
15,32,1980-03-21,Little Darlings,27458
16,33,1980-03-21,Little Miss Marker,47876
17,35,1980-03-28,The Changeling,13550
18,36,1980-03-28,Gilda Live,97415
19,37,1980-03-28,Serial,41034
20,38,1980-03-28,Tom Horn,5917
21,39,1980-03-28,When Time Ran Out,47942
22,0,1980-04-01,The Baltimore Bullet,189888
23,3,1980-04-08,The Gambler,44789
24,6,1980-04-17,The Private Eyes,13762
25,8,1980-04-17,The Watcher in the Woods,21970
26,10,1980-04-25,Heart Beat,190173
27,11,1980-04-25,Where the Buffalo Roam,13005
28,12,1980-05-01,Gorp,31086
29,13,1980-05-09,Friday the 13th,4488
30,14,1980-05-09,The Nude Bomb,26200
31,16,1980-05-11,The Return of the King,1361
32,17,1980-05-16,Fame,3537
33,20,1980-05-16,The Long Riders,14729
34,22,1980-05-23,Carny,32027
35,24,1980-05-23,The Gong Show Movie,83802
36,25,1980-05-23,The Shining,694
37,26,1980-05-30,"Bon Voyage, Charlie Brown (and Don't Come Back!!)",31112
38,28,1980-06-01,The Mountain Men,75552
39,29,1980-06-04,The Happy Hooker Goes Hollywood,93576
40,30,1980-06-06,Galaxina,33155
41,31,1980-06-06,Up the Academy,33670
42,32,1980-06-06,Urban Cowboy,17496
43,33,1980-06-11,Bronco Billy,21866
44,34,1980-06-13,The Children,84107
45,35,1980-06-13,The Island,7988
46,36,1980-06-13,Roadie,21024
47,37,1980-06-13,Wholly Moses!,33076
48,39,1980-06-19,Rough Cut,49375
49,41,1980-06-20,Brubaker,1623
50,42,1980-06-20,Can't Stop the Music,40932
51,43,1980-06-25,Herbie Goes Bananas,12129
52,0,1980-07-02,Airplane!,813
53,1,1980-07-02,Alligator,33518
54,4,1980-07-05,The Blue Lagoon,5689
55,5,1980-07-11,How to Beat the High Cost of Living,119617
56,6,1980-07-11,Oh! Heavenly Dog,26179
57,7,1980-07-11,Used Cars,14475
58,9,1980-07-18,Cheech & Chong's Next Movie,13612
59,10,1980-07-18,Honeysuckle Rose,22288
60,11,1980-07-18,The Little Dragons,219249
61,12,1980-07-18,Prom Night,36599
62,13,1980-07-24,The Earthling,69716
63,14,1980-07-25,Caddyshack,11977
64,15,1980-07-25,Dressed to Kill,11033
65,16,1980-07-25,Middle Age Crazy,94574
66,18,1980-08-01,The Hunter,5922
67,19,1980-08-01,I Go Pogo,292614
68,21,1980-08-01,Raise the Titanic,24575
69,22,1980-08-08,The Fiendish Plot of Dr. Fu Manchu,3486
70,23,1980-08-08,Xanadu,15668
71,24,1980-08-10,Why Would I Lie?,267444
72,25,1980-08-15,The Kidnapping of the President,107355
73,26,1980-08-15,Smokey and the Bandit II,12705
74,27,1980-08-15,"Those Lips, Those Eyes",99796
75,28,1980-08-15,Willie & Phil,92323
76,30,1980-08-29,He Knows You're Alone,65262
77,32,1980-09-08,Battle Beyond the Stars,14460
78,34,1980-09-09,Phobia,73354
79,36,1980-09-10,The Gods Must Be Crazy,8393
80,39,1980-09-19,Melvin and Howard,38772
81,40,1980-09-19,Mother's Day,14929
82,41,1980-09-19,Ordinary People,16619
83,43,1980-09-26,Divine Madness,27059
84,44,1980-09-26,Hopscotch,32030
85,45,1980-09-26,In God We Tru$t,112739
86,47,1980-09-26,Resurrection,98864
87,48,1980-09-26,Stardust Memories,11337
88,49,1980-09-26,Without Warning,44932
89,0,1980-10-03,Coast to Coast,95324
