,English title,Native title,Director(s),Cast,Opening_day,TMDB_ID,Genres,Score,Popularity,Overview,Original_Language,Casts,Actor_1,Cast_1,Cast_2,Cast_3,Actor_2,Actor_3
3,Secret Zoo,해치지않아,Son Jae-gon,"Ahn Jae-hong, Kang So-ra",2020-01-15,575718, Comedy Drama,6.3,17.568,"A lawyer is given the mission of revitalising a bankrupt zoo that has no animals. When he and a group of zookeepers come up with the idea to dress like animals and his fake polar bear goes viral, the zoo becomes a hit, before his law firm’s real intentions are revealed.",ko,"{'cast': [{'adult': False, 'gender': 2, 'id': 1164507, 'known_for_department': 'Acting', 'name': 'Ahn Jae-hong', 'original_name': 'Ahn Jae-hong', 'popularity': 10.697, 'profile_path': '/pypB7S7Wpja3mgfT2iAEKcR7uXp.jpg', 'cast_id': 3, 'character': 'Kang Tae-su', 'credit_id': '5c3fe0409251416e2dafe946', 'order': 0}, {'adult': False, 'gender': 1, 'id': 1295457, 'known_for_department': 'Acting', 'name': 'Kang So-ra', 'original_name': 'Kang So-ra', 'popularity': 10.767, 'profile_path': '/hGIvcS0fqrmXwTXhU9yIi9WdfhS.jpg', 'cast_id': 4, 'character': 'Han So-won', 'credit_id': '5c3fe0480e0a2655c491a4b0', 'order': 1}, {'adult': False, 'gender': 2, 'id': 80656, 'known_for_department': 'Acting', 'name': 'Park Young-kyu', 'original_name': 'Park Young-kyu', 'popularity': 9.142, 'profile_path': '/f2zbEZscvRAV0TgF1LohQx0bg0y.jpg', 'cast_id': 5, 'character': 'Mr. Seo', 'credit_id': '5c3fe0509251417a60ae31ca', 'order': 2}, {'adult': False, 'gender': 2, 'id': 147505, 'known_for_department': 'Acting', 'name': 'Kim Sung-oh', 'original_name': 'Kim Sung-oh', 'popularity': 27.646, 'profile_path': '/bvwsF0l3f2qs19GCUyHtAqGDL5P.jpg', 'cast_id': 6, 'character': 'Kim Geon-wook', 'credit_id': '5c3fe0589251416b02b016ae', 'order': 3}, {'adult': False, 'gender': 1, 'id': 2067860, 'known_for_department': 'Acting', 'name': 'Jeon Yeo-been', 'original_name': 'Jeon Yeo-been', 'popularity': 26.938, 'profile_path': '/l28uxiGDMyZjQMRvhfNCtkydmpK.jpg', 'cast_id': 7, 'character': 'Kim Hae-kyeong', 'credit_id': '5c3fe0609251417ba0abadc9', 'order': 4}, {'adult': False, 'gender': 2, 'id': 587676, 'known_for_department': 'Acting', 'name': 'Park Hyeok-kwon', 'original_name': 'Park Hyeok-kwon', 'popularity': 11.891, 'profile_path': '/pigJfp2H6bcnW5qEZ2KOaI4PSEI.jpg', 'cast_id': 8, 'character': 'President Hwang', 'credit_id': '5c3fe0670e0a2646a2910ea2', 'order': 5}, {'adult': False, 'gender': 2, 'id': 1591370, 'known_for_department': 'Acting', 'name': 'Seo Hyun-woo', 'original_name': 'Seo Hyun-woo', 'popularity': 12.87, 'profile_path': '/i5HP0n06Y5GIZfpsbibFQWAcUjV.jpg', 'cast_id': 21, 'character': 'Secretary Oh', 'credit_id': '5e297a879638640016abf927', 'order': 6}, {'adult': False, 'gender': 2, 'id': 1487428, 'known_for_department': 'Acting', 'name': 'Jang Seung-jo', 'original_name': 'Jang Seung-jo', 'popularity': 10.96, 'profile_path': '/eNuDu7SIBqgDRbaKajs3C5JXj2B.jpg', 'cast_id': 22, 'character': 'Seong-min', 'credit_id': '5e297a8d4ca676001242c743', 'order': 7}, {'adult': False, 'gender': 1, 'id': 1057068, 'known_for_department': 'Acting', 'name': 'Han Yeri', 'original_name': 'Han Yeri', 'popularity': 14.0, 'profile_path': '/2NOYIaNcjzkfUXGultTdlJZGbuH.jpg', 'cast_id': 27, 'character': 'Min Chae-ryeong', 'credit_id': '5e2984354ca6760017438930', 'order': 8}, {'adult': False, 'gender': 2, 'id': 1444366, 'known_for_department': 'Acting', 'name': 'Kim Ki-cheon', 'original_name': 'Kim Ki-cheon', 'popularity': 8.999, 'profile_path': '/tEr1lwcAa8NyXLZ5684vkO0jtBM.jpg', 'cast_id': 28, 'character': 'Mr. Go', 'credit_id': '5e2984519638640013abe0db', 'order': 9}, {'adult': False, 'gender': 2, 'id': 2128935, 'known_for_department': 'Acting', 'name': 'Park Hyeong-su', 'original_name': 'Park Hyeong-su', 'popularity': 5.932, 'profile_path': '/zIID8SaTRzQnfWUOHCeYSS7vIQS.jpg', 'cast_id': 23, 'character': 'Lawyer Song', 'credit_id': '5e297a9998f1f10012f5d0bd', 'order': 10}, {'adult': False, 'gender': 2, 'id': 2523224, 'known_for_department': 'Acting', 'name': 'Kim Heung-rae', 'original_name': 'Kim Heung-rae', 'popularity': 1.462, 'profile_path': '/rjj7FNMTL8ybk1ZGTxs3ju8gwvC.jpg', 'cast_id': 29, 'character': 'Black Nose', 'credit_id': '5e3039bbeda4b70017f0eaa4', 'order': 11}, {'adult': False, 'gender': 1, 'id': 1191490, 'known_for_department': 'Acting', 'name': 'Kim Soo-jin', 'original_name': 'Kim Soo-jin', 'popularity': 9.828, 'profile_path': '/72tFyGXH1ta8oV0ojOBKi61FIGW.jpg', 'cast_id': 24, 'character': 'Lawyer Seo', 'credit_id': '5e297ab29638640019abc220', 'order': 12}, {'adult': False, 'gender': 2, 'id': 1742903, 'known_for_department': 'Acting', 'name': 'Yoon Dae-yeul', 'original_name': 'Yoon Dae-yeul', 'popularity': 1.96, 'profile_path': '/p8Sv2B74MAdKbm6q1UoiOGW20GV.jpg', 'cast_id': 25, 'character': 'Section Chief Ha', 'credit_id': '5e297abf98f1f1000ff6099e', 'order': 13}, {'adult': False, 'gender': 2, 'id': 1586567, 'known_for_department': 'Acting', 'name': 'Lee Hyun-wook', 'original_name': 'Lee Hyun-wook', 'popularity': 13.084, 'profile_path': '/hU8tF6BsZdhDWtQk7rItZ4CiJwR.jpg', 'cast_id': 26, 'character': 'Min Cheol-hyeon', 'credit_id': '5e297acd1685da0019e24695', 'order': 14}, {'adult': False, 'gender': 2, 'id': 2771569, 'known_for_department': 'Acting', 'name': 'Jeon Woon-jong', 'original_name': 'Jeon Woon-jong', 'popularity': 4.434, 'profile_path': '/lCZKnjQoHtDJwpE0TE593LEnpkh.jpg', 'cast_id': 32, 'character': 'Police', 'credit_id': '5f5e35a1bdc34c0037eab160', 'order': 15}, {'adult': False, 'gender': 2, 'id': 2159485, 'known_for_department': 'Acting', 'name': 'Seol Chang-hee', 'original_name': 'Seol Chang-hee', 'popularity': 3.671, 'profile_path': '/s8gnLh0GfuDsIqJE4PyWWyYM52r.jpg', 'cast_id': 35, 'character': 'Lawyer', 'credit_id': '5fd2c9fd6a3448003f9d7618', 'order': 16}, {'adult': False, 'gender': 2, 'id': 2379047, 'known_for_department': 'Acting', 'name': 'Ahn Seong-bong', 'original_name': 'Ahn Seong-bong', 'popularity': 8.526, 'profile_path': '/iDnwRIPELK41iaYT32G5UpiIPFx.jpg', 'cast_id': 38, 'character': 'Bodyguard at Chinese Restaurant', 'credit_id': '609693f49bcd0f003b75ddab', 'order': 17}, {'adult': False, 'gender': 2, 'id': 3207964, 'known_for_department': 'Acting', 'name': 'Kim Gyeong-min', 'original_name': 'Kim Gyeong-min', 'popularity': 3.361, 'profile_path': '/7d88xPM0traynfzvpqXo93SkYyP.jpg', 'cast_id': 40, 'character': 'Restaurant Manager', 'credit_id': '6122326c66ae4d005b554cdf', 'order': 18}, {'adult': False, 'gender': 2, 'id': 3216779, 'known_for_department': 'Acting', 'name': 'Choi Jeong-hyun', 'original_name': 'Choi Jeong-hyun', 'popularity': 1.96, 'profile_path': '/bjO5WL31LGpKfqwd8zrrdpZmlhU.jpg', 'cast_id': 41, 'character': 'Bodyguard', 'credit_id': '612cab34a4af8f0043d4ad97', 'order': 19}, {'adult': False, 'gender': 1, 'id': 3247875, 'known_for_department': 'Acting', 'name': 'Yang Mal-bok', 'original_name': 'Yang Mal-bok', 'popularity': 1.862, 'profile_path': '/mMfhiP92DDBPVs1OfzhcHE9lkvc.jpg', 'cast_id': 42, 'character': 'Owner', 'credit_id': '61500451aaf897004442452e', 'order': 20}, {'adult': False, 'gender': 2, 'id': 1929926, 'known_for_department': 'Acting', 'name': 'Won Geun-hui', 'original_name': 'Won Geun-hui', 'popularity': 0.833, 'profile_path': None, 'cast_id': 49, 'character': 'Old Man', 'credit_id': '6287b3fdec455274c4bd5033', 'order': 21}, {'adult': False, 'gender': 1, 'id': 3172983, 'known_for_department': 'Acting', 'name': 'Lee Ga-kyung', 'original_name': 'Lee Ga-kyung', 'popularity': 1.293, 'profile_path': '/ulDfQQjFLoe6XFjqEM4zudELLcE.jpg', 'cast_id': 54, 'character': 'Audience', 'credit_id': '63cf8e4a1b157d00d5494da8', 'order': 22}, {'adult': False, 'gender': 1, 'id': 2624935, 'known_for_department': 'Acting', 'name': 'Son Hee-soon', 'original_name': 'Son Hee-soon', 'popularity': 1.96, 'profile_path': '/12BOA4EkPnWN92mLJ4QyBNKzYnd.jpg', 'cast_id': 58, 'character': 'Granny Spectator', 'credit_id': '64ca2bd30cb33517c13c3818', 'order': 23}], 'crew': [{'adult': False, 'gender': 2, 'id': 109305, 'known_for_department': 'Directing', 'name': 'Son Jae-gon', 'original_name': 'Son Jae-gon', 'popularity': 2.828, 'profile_path': '/cwgfkrIKaEeX8g0fbjXuJIe7sK9.jpg', 'credit_id': '5c3fe01e0e0a2655c491a48a', 'department': 'Directing', 'job': 'Director'}, {'adult': False, 'gender': 2, 'id': 109305, 'known_for_department': 'Directing', 'name': 'Son Jae-gon', 'original_name': 'Son Jae-gon', 'popularity': 2.828, 'profile_path': '/cwgfkrIKaEeX8g0fbjXuJIe7sK9.jpg', 'credit_id': '5c3fe02d925141344cafe2a0', 'department': 'Writing', 'job': 'Writer'}, {'adult': False, 'gender': 0, 'id': 1281548, 'known_for_department': 'Production', 'name': 'Kim Woo-jae', 'original_name': 'Kim Woo-jae', 'popularity': 0.694, 'profile_path': None, 'credit_id': '61c69da48d52c9001b9b3ecd', 'department': 'Production', 'job': 'Co-Producer'}, {'adult': False, 'gender': 0, 'id': 1293689, 'known_for_department': 'Sound', 'name': 'Lee Jin-hee', 'original_name': 'Lee Jin-hee', 'popularity': 0.6, 'profile_path': None, 'credit_id': '5e25aa945ed8e9001562b559', 'department': 'Sound', 'job': 'Original Music Composer'}, {'adult': False, 'gender': 0, 'id': 1294801, 'known_for_department': 'Lighting', 'name': 'Park Ju-hyun', 'original_name': 'Park Ju-hyun', 'popularity': 0.828, 'profile_path': None, 'credit_id': '5fafe188b6cff1003bc27a83', 'department': 'Lighting', 'job': 'Lighting Director'}, {'adult': False, 'gender': 0, 'id': 1295399, 'known_for_department': 'Production', 'name': 'Kim Seong-hwan', 'original_name': 'Kim Seong-hwan', 'popularity': 1.22, 'profile_path': None, 'credit_id': '5dfb6db7d1a8930012829a96', 'department': 'Production', 'job': 'Executive Producer'}, {'adult': False, 'gender': 2, 'id': 1296327, 'known_for_department': 'Writing', 'name': 'Kim Dae-woo', 'original_name': 'Kim Dae-woo', 'popularity': 2.209, 'profile_path': '/hwMxpM1Tga2PWegQt9buR11Hj61.jpg', 'credit_id': '5de8d63f7646fd00139ba496', 'department': 'Writing', 'job': 'Writer'}, {'adult': False, 'gender': 2, 'id': 1326158, 'known_for_department': 'Production', 'name': 'Cha Hyun-woo', 'original_name': 'Cha Hyun-woo', 'popularity': 2.142, 'profile_path': '/8Us0EdEE4mZtrNrhn29seQY0mSl.jpg', 'credit_id': '6439f76ab6c26402ec39870d', 'department': 'Production', 'job': 'Co-Executive Producer'}, {'adult': False, 'gender': 1, 'id': 1447784, 'known_for_department': 'Production', 'name': 'Shin Hye-yeon', 'original_name': 'Shin Hye-yeon', 'popularity': 1.4, 'profile_path': None, 'credit_id': '62931dc83ff2df140b687dbb', 'department': 'Production', 'job': 'Executive Producer'}, {'adult': False, 'gender': 2, 'id': 2159407, 'known_for_department': 'Costume & Make-Up', 'name': 'Hwang Hyo-kyun', 'original_name': 'Hwang Hyo-kyun', 'popularity': 2.67, 'profile_path': None, 'credit_id': '5e25b0975ed8e9001562c461', 'department': 'Costume & Make-Up', 'job': 'Special Effects Makeup Artist'}, {'adult': False, 'gender': 0, 'id': 2161212, 'known_for_department': 'Visual Effects', 'name': 'Yoon Dae-won', 'original_name': 'Yoon Dae-won', 'popularity': 1.214, 'profile_path': None, 'credit_id': '62c1521a33a533007db6f4be', 'department': 'Visual Effects', 'job': 'Special Effects Supervisor'}, {'adult': False, 'gender': 0, 'id': 2161546, 'known_for_department': 'Camera', 'name': 'Lee Seung-hun', 'original_name': 'Lee Seung-hun', 'popularity': 0.652, 'profile_path': None, 'credit_id': '63997fe877c01f00898264ae', 'department': 'Camera', 'job': 'Director of Photography'}, {'adult': False, 'gender': 2, 'id': 2202729, 'known_for_department': 'Production', 'name': 'Ko Dae-seok', 'original_name': 'Ko Dae-seok', 'popularity': 1.62, 'profile_path': '/zYX86QN9t94u8Qp7xxRLiJOlVB3.jpg', 'credit_id': '5dfb6e2ed1a8930019830a00', 'department': 'Production', 'job': 'Producer'}, {'adult': False, 'gender': 1, 'id': 2211721, 'known_for_department': 'Editing', 'name': 'Lee Gang-hee', 'original_name': 'Lee Gang-hee', 'popularity': 1.095, 'profile_path': None, 'credit_id': '60e1caf4258823005d7b86b4', 'department': 'Editing', 'job': 'Editor'}, {'adult': False, 'gender': 0, 'id': 2246924, 'known_for_department': 'Production', 'name': 'Park Hyun-tae', 'original_name': 'Park Hyun-tae', 'popularity': 0.98, 'profile_path': None, 'credit_id': '5e25afcaa894d6000f3c65f4', 'department': 'Production', 'job': 'Executive Producer'}, {'adult': False, 'gender': 0, 'id': 2475730, 'known_for_department': 'Writing', 'name': 'Lee Yong-jae', 'original_name': 'Lee Yong-jae', 'popularity': 1.38, 'profile_path': None, 'credit_id': '5de8d6ab7646fd00119a8fda', 'department': 'Writing', 'job': 'Writer'}, {'adult': False, 'gender': 1, 'id': 2515625, 'known_for_department': 'Art', 'name': 'Yeom Jin', 'original_name': 'Yeom Jin', 'popularity': 1.22, 'profile_path': None, 'credit_id': '5e25a83d5ed8e9001562b23e', 'department': 'Art', 'job': 'Art Direction'}, {'adult': False, 'gender': 1, 'id': 2515627, 'known_for_department': 'Art', 'name': 'Kim Hyun-ok', 'original_name': 'Kim Hyun-ok', 'popularity': 0.6, 'profile_path': None, 'credit_id': '5e25a8c91bf2660016fd4aad', 'department': 'Art', 'job': 'Production Design'}, {'adult': False, 'gender': 0, 'id': 2515636, 'known_for_department': 'Sound', 'name': 'Seo Dong-joon', 'original_name': 'Seo Dong-joon', 'popularity': 0.6, 'profile_path': None, 'credit_id': '5e25aa39bfeb8b0015d6b884', 'department': 'Sound', 'job': 'Sound Supervisor'}, {'adult': False, 'gender': 2, 'id': 2538083, 'known_for_department': 'Sound', 'name': 'An Ki-sung', 'original_name': 'An Ki-sung', 'popularity': 1.094, 'profile_path': None, 'credit_id': '5e4648223dd12600165cb052', 'department': 'Sound', 'job': 'Sound Effects'}, {'adult': False, 'gender': 0, 'id': 2538097, 'known_for_department': 'Sound', 'name': 'Kim Young-ho', 'original_name': 'Kim Young-ho', 'popularity': 0.6, 'profile_path': None, 'credit_id': '5e464adc9603310017f64fb5', 'department': 'Sound', 'job': 'Sound Mixer'}, {'adult': False, 'gender': 0, 'id': 2874107, 'known_for_department': 'Art', 'name': 'Kim Yeong-bok', 'original_name': 'Kim Yeong-bok', 'popularity': 0.696, 'profile_path': None, 'credit_id': '5fc30a585800c40040f34714', 'department': 'Art', 'job': 'Props'}, {'adult': False, 'gender': 2, 'id': 2969691, 'known_for_department': 'Visual Effects', 'name': 'Kim Dae-jun', 'original_name': 'Kim Dae-jun', 'popularity': 0.694, 'profile_path': None, 'credit_id': '6021426dd6c300004166f427', 'department': 'Visual Effects', 'job': 'VFX Supervisor'}, {'adult': False, 'gender': 2, 'id': 2997639, 'known_for_department': 'Production', 'name': 'Joy Jinsoo Lee', 'original_name': 'Joy Jinsoo Lee', 'popularity': 1.214, 'profile_path': '/252ppzFXnAC6rPlEHPkGmHrWjDk.jpg', 'credit_id': '604034818a88b20044e124a2', 'department': 'Production', 'job': 'Co-Executive Producer'}, {'adult': False, 'gender': 2, 'id': 2998381, 'known_for_department': 'Creator', 'name': 'Hun', 'original_name': 'Hun', 'popularity': 0.704, 'profile_path': None, 'credit_id': '64f92cda8e20c50cd50ca364', 'department': 'Writing', 'job': 'Original Story'}, {'adult': False, 'gender': 0, 'id': 3035593, 'known_for_department': 'Crew', 'name': 'Shin Young-hoon', 'original_name': 'Shin Young-hoon', 'popularity': 0.6, 'profile_path': None, 'credit_id': '61f65908ac8e6b001c965716', 'department': 'Crew', 'job': 'Martial Arts Choreographer'}, {'adult': False, 'gender': 0, 'id': 3377895, 'known_for_department': 'Production', 'name': 'Jung Hyun-ju', 'original_name': 'Jung Hyun-ju', 'popularity': 1.96, 'profile_path': None, 'credit_id': '61dd7134a35c8e001d5075a2', 'department': 'Production', 'job': 'Executive Producer'}, {'adult': False, 'gender': 0, 'id': 3409169, 'known_for_department': 'Crew', 'name': 'Lee Tae-ho', 'original_name': 'Lee Tae-ho', 'popularity': 0.609, 'profile_path': None, 'credit_id': '61fa70cceee18600cd3b385e', 'department': 'Crew', 'job': 'Martial Arts Choreographer'}, {'adult': False, 'gender': 0, 'id': 3422971, 'known_for_department': 'Sound', 'name': 'Go Dong-hoon', 'original_name': 'Go Dong-hoon', 'popularity': 1.38, 'profile_path': None, 'credit_id': '62075cfec56d2d009ed4e795', 'department': 'Sound', 'job': 'Production Sound Mixer'}, {'adult': False, 'gender': 1, 'id': 3609611, 'known_for_department': 'Production', 'name': 'Park Eun-ji', 'original_name': 'Park Eun-ji', 'popularity': 0.84, 'profile_path': None, 'credit_id': '62c0ee13aaf897004c68f840', 'department': 'Production', 'job': 'Line Producer'}, {'adult': False, 'gender': 0, 'id': 3915375, 'known_for_department': 'Camera', 'name': 'Cho Gi-hun', 'original_name': 'Cho Gi-hun', 'popularity': 0.84, 'profile_path': None, 'credit_id': '63e73a3f63aad200a14bd7f8', 'department': 'Camera', 'job': 'Key Grip'}, {'adult': False, 'gender': 0, 'id': 3963645, 'known_for_department': 'Visual Effects', 'name': 'Kim Gyeong-nam', 'original_name': 'Kim Gyeong-nam', 'popularity': 1.614, 'profile_path': None, 'credit_id': '6411c28efe6c18007c38cca9', 'department': 'Visual Effects', 'job': 'VFX Supervisor'}, {'adult': False, 'gender': 0, 'id': 4154850, 'known_for_department': 'Visual Effects', 'name': 'Kim Jung-min', 'original_name': 'Kim Jung-min', 'popularity': 1.96, 'profile_path': None, 'credit_id': '65c9ce71aad9c20164b791a9', 'department': 'Visual Effects', 'job': 'VFX Supervisor'}]}",24,Ahn Jae-hong,Kang So-ra,Park Young-kyu,,
4,Gang,갱,Jo Ba-reun,"Cha Ji-hyuk, Jo Sun-gi, Ok Yoon-joong, Baek Jae-min",2020-01-16,636293, Comedy Action,6.0,3.345,"Choi Jihoon is assigned to Daehun High School, the worst high school in Korea. He pledges to be the ‘Jjang (Top gangster)’ here, but the reality is quite tough.",ko,"{'cast': [{'adult': False, 'gender': 1, 'id': 2658268, 'known_for_department': 'Acting', 'name': 'Kim Ra Hee', 'original_name': 'Kim Ra Hee', 'popularity': 0.6, 'profile_path': '/dv1xTH172VDRQoEkOmkRdGJsAhO.jpg', 'cast_id': 9, 'character': 'Ji-hye', 'credit_id': '622409fac3bffe006bcc1e5e', 'order': 0}, {'adult': False, 'gender': 2, 'id': 2534265, 'known_for_department': 'Acting', 'name': 'Cha Ji-hyuk', 'original_name': 'Cha Ji-hyuk', 'popularity': 2.328, 'profile_path': '/9Nm0ur9vNJoTf4Y0N6x8r8Ie7jJ.jpg', 'cast_id': 3, 'character': 'Ji-hoon', 'credit_id': '5e410fe89603310015ef423a', 'order': 1}, {'adult': False, 'gender': 2, 'id': 2534266, 'known_for_department': 'Acting', 'name': 'Jo Sun-ki', 'original_name': 'Jo Sun-ki', 'popularity': 1.4, 'profile_path': None, 'cast_id': 4, 'character': 'Dae-ho', 'credit_id': '5e410ff09603310015ef424a', 'order': 2}, {'adult': False, 'gender': 2, 'id': 2534267, 'known_for_department': 'Acting', 'name': 'Ock Yun-jung', 'original_name': 'Ock Yun-jung', 'popularity': 0.6, 'profile_path': '/ta3e7E4Ye3LQz9oDLTyGxIyQBzU.jpg', 'cast_id': 5, 'character': 'Yong-sik', 'credit_id': '5e410ff79603310013eef419', 'order': 3}, {'adult': False, 'gender': 2, 'id': 2534268, 'known_for_department': 'Acting', 'name': 'Baek Jae-min', 'original_name': 'Baek Jae-min', 'popularity': 1.4, 'profile_path': None, 'cast_id': 6, 'character': 'Chang-sik', 'credit_id': '5e4110000c271000187ee55d', 'order': 4}, {'adult': False, 'gender': 2, 'id': 2291096, 'known_for_department': 'Acting', 'name': 'Kim Dae-han', 'original_name': 'Kim Dae-han', 'popularity': 2.373, 'profile_path': '/eMq2on2tsA0WwpJgyXwbljFtuKB.jpg', 'cast_id': 7, 'character': 'Gi-tae', 'credit_id': '5e41100c9603310015ef42b0', 'order': 5}, {'adult': False, 'gender': 2, 'id': 2097693, 'known_for_department': 'Acting', 'name': 'Lee Jung-hyun', 'original_name': 'Lee Jung-hyun', 'popularity': 3.655, 'profile_path': '/2LJKgRqFczkhRSGJiVPdvy6ENpe.jpg', 'cast_id': 8, 'character': 'Hotdog', 'credit_id': '5e4110290c271000187ee590', 'order': 6}], 'crew': [{'adult': False, 'gender': 2, 'id': 2423925, 'known_for_department': 'Directing', 'name': 'Jo Ba-reun', 'original_name': 'Jo Ba-reun', 'popularity': 1.22, 'profile_path': '/9tN3FN6yQyV9U7ztvc3Bqit4ZqL.jpg', 'credit_id': '5d95bcb529c626001c86d60b', 'department': 'Directing', 'job': 'Director'}, {'adult': False, 'gender': 2, 'id': 2423925, 'known_for_department': 'Directing', 'name': 'Jo Ba-reun', 'original_name': 'Jo Ba-reun', 'popularity': 1.22, 'profile_path': '/9tN3FN6yQyV9U7ztvc3Bqit4ZqL.jpg', 'credit_id': '5de4e514a7e36300196d0b88', 'department': 'Writing', 'job': 'Writer'}]}",7,Kim Ra Hee,Cha Ji-hyuk,Jo Sun-ki,,
