,index,Released,English title,TMDB_id
135,4,1971-07-07,Two-Lane Blacktop,27236
136,5,1971-07-15,Vampyros Lesbos,17343
137,6,1971-07-16,The Devils,31767
138,7,1971-07-16,The Hunting Party,45007
139,8,1971-07-16,The Light at the Edge of the World,90974
140,10,1971-07-21,Murders in the Rue Morgue,63512
141,11,1971-07-23,The Seven Minutes,5745
142,14,1971-07-28,On Any Sunday,29251
143,19,1971-08-01,Doc,83147
144,20,1971-08-01,The Omega Man,11234
145,23,1971-08-11,The Hired Hand,42522
146,25,1971-08-17,Cry Uncle!,89372
147,26,1971-08-18,Fools' Parade,65502
148,28,1971-08-19,The Marriage of a Young Stockbroker,176087
149,29,1971-08-25,A Gunfight,71654
150,30,1971-08-27,Let's Scare Jessica to Death,16154
151,32,1971-09-02,See No Evil,39859
152,33,1971-09-03,Return of Sabata,72032
153,34,1971-09-15,Red Sun,11842
154,35,1971-09-15,Been Down So Long It Looks Like Up to Me,86944
155,36,1971-09-17,Kotch,76002
156,37,1971-09-20,Dracula vs. Frankenstein,3125
157,38,1971-09-22,Desperate Characters,92273
158,40,1971-09-24,The Last Rebel,151186
159,42,1971-09-25,Tiki Tiki,330160
160,43,1971-09-28,And Now for Something Completely Different,9267
161,1,1971-10-09,The French Connection,1051
162,4,1971-10-18,Bunny O'Hare,88179
163,6,1971-10-20,The Organization,92272
164,8,1971-10-20,The Todd Killings,169228
165,9,1971-10-20,T.R. Baskin,149026
166,14,1971-10-27,Captain Apache,104974
167,17,1971-11-01,"I, Monster",52941
168,18,1971-11-03,Fiddler on the Roof,14811
169,19,1971-11-05,Black Noon,226640
170,20,1971-11-08,Hannie Caulder,31283
171,21,1971-11-10,Jennifer on My Mind,199352
172,22,1971-11-12,Mon oncle Antoine,74689
173,24,1971-11-13,Duel,839
174,27,1971-11-24,Man in the Wilderness,46845
175,28,1971-11-30,Bleak Moments,122271
176,29,1971-11-30,Brian's Song,18047
177,31,1971-12-01,Born to Win,21256
178,32,1971-12-01,Chandler,88375
179,34,1971-12-08,Believe in Me,86948
180,36,1971-12-09,"Happy Birthday, Wanda June",69218
181,38,1971-12-12,Made for Each Other,84465
182,41,1971-12-14,The Hospital,32082
183,43,1971-12-16,The Boy Friend,31515
184,47,1971-12-17,Sometimes A Great Notion,40083
185,48,1971-12-19,A Clockwork Orange,185
186,49,1971-12-20,Harold and Maude,343
187,50,1971-12-20,Macbeth,11316
188,52,1971-12-22,The Gang That Couldn't Shoot Straight,59226
189,53,1971-12-22,Kidnapped,32032
190,54,1971-12-22,Minnie and Moskowitz,24349
191,55,1971-12-22,Star Spangled Girl,92292
192,57,1971-12-23,Dirty Harry,984
193,1,1972-01-07,Glass Houses,382465
194,2,1972-01-11,The Night Stalker,15360
195,3,1972-01-13,The Cowboys,15573
196,4,1972-01-14,Cisco Pike,55044
197,5,1972-01-20,To Find a Man,144498
198,7,1972-01-26,The Hot Rock,46059
199,8,1972-02-13,Cabaret,10784
200,12,1972-03-10,Frogs,18274
201,16,1972-03-14,The Godfather,238
202,18,1972-03-15,Slaughterhouse-Five,24559
203,19,1972-03-17,Pink Flamingos,692
204,20,1972-03-22,The Biscuit Eater,56067
205,21,1972-03-22,Fist of Fury,11713
206,22,1972-03-23,The Concert for Bangladesh,59414
207,24,1972-03-29,The Carey Treatment,72449
208,0,1972-04-12,Fritz the Cat,12593
209,5,1972-05-04,"Play It Again, Sam",11610
210,6,1972-05-12,The Great Northfield Minnesota Raid,27349
211,7,1972-05-12,Hammersmith Is Out,85762
212,8,1972-05-17,The Honkers,121520
213,10,1972-05-24,The Possession of Joel Delaney,29491
214,11,1972-05-24,Skyjacked,87514
215,12,1972-05-25,Chato's Land,26119
216,13,1972-05-25,Z.P.G.,52608
217,15,1972-05-31,The Final Comedown,92307
218,19,1972-06-14,Fillmore,102410
219,20,1972-06-14,Boxcar Bertha,22784
220,21,1972-06-16,The Strange Vengeance of Rosalie,107019
221,22,1972-06-19,One Is a Lonely Number,92287
222,25,1972-06-21,Beware! The Blob,40983
223,28,1972-06-21,The Revengers,127475
224,29,1972-06-23,Ben,42476
225,31,1972-06-29,The Candidate,21711
226,32,1972-06-29,"Come Back, Charleston Blue",129478
227,2,1972-07-05,Napoleon and Samantha,42486
228,3,1972-07-06,Butterflies Are Free,55106
229,4,1972-07-12,"Now You See Him, Now You Don't",24236
230,5,1972-07-14,Fuzz,4986
231,7,1972-07-14,The Wrath of God,68247
232,8,1972-07-19,The Man,250093
233,9,1972-07-19,The Thing with Two Heads,28650
234,11,1972-07-26,Fat City,16993
235,14,1972-08-01,The Magnificent Seven Ride!,43417
236,15,1972-08-02,Junior Bonner,5927
237,16,1972-08-02,Kansas City Bomber,28020
238,17,1972-08-03,The New Centurions,37608
239,18,1972-08-04,Super Fly,21968
240,19,1972-08-06,Everything You Always Wanted to Know About Sex* (*But Were Afraid to Ask),11624
241,20,1972-08-09,"Snoopy, Come Home",15242
242,21,1972-08-16,Pope Joan,47846
243,23,1972-08-23,To Kill a Clown,214131
244,24,1972-08-25,Blacula,30566
245,25,1972-08-30,The Last House on the Left,15516
246,26,1972-09-01,Bluebeard,27116
247,29,1972-09-13,The Ruling Class,30892
248,30,1972-09-15,The Discreet Charm of the Bourgeoisie,4593
249,31,1972-09-21,Cancel My Reservation,126760
250,33,1972-09-24,Sounder,42489
251,0,1972-10-04,Hickey & Boggs,85126
252,1,1972-10-08,Bad Company,31591
253,3,1972-10-12,The King of Marvin Gardens,50627
254,4,1972-10-14,Last Tango in Paris,1643
255,5,1972-10-18,"Run, Cougar, Run",290141
256,6,1972-10-19,Play It as It Lays,84796
257,7,1972-10-19,When the Legends Die,259773
258,9,1972-10-31,Pancho Villa,74064
259,11,1972-11-01,Dirty Little Billy,56966
260,12,1972-11-01,Trouble Man,21949
261,15,1972-11-17,Asylum,25993
262,18,1972-11-20,Alice's Adventures in Wonderland,34461
263,20,1972-11-22,Rage,101307
264,21,1972-11-22,They Only Kill Their Masters,62996
265,25,1972-12-12,Child's Play,82465
266,26,1972-12-12,Man of La Mancha,45793
267,29,1972-12-17,Avanti!,12530
268,30,1972-12-17,The Heartbreak Kid,40687
269,31,1972-12-17,Pete 'n' Tillie,107774
270,32,1972-12-17,Travels with My Aunt,5183
271,34,1972-12-18,Images,29449
272,35,1972-12-18,The Life and Times of Judge Roy Bean,33638
273,36,1972-12-19,Across 110th Street,23847
274,37,1972-12-20,The Effect of Gamma Rays on Man-in-the-Moon Marigolds,88875
275,38,1972-12-20,Hit Man,37488
276,40,1972-12-22,Snowball Express,32140
277,2,1973-01-11,The Offence,32615
278,3,1973-01-13,Battles Without Honor and Humanity,34326
279,5,1973-01-19,Black Mama White Mama,28797
280,6,1973-01-25,The Death of a Lumberjack,171219
281,10,1973-01-31,Shamus,4989
282,11,1973-01-31,Steelyard Blues,74057
283,13,1973-02-04,Wattstax,2261
284,14,1973-02-07,Black Caesar,22029
285,15,1973-02-07,The Train Robbers,40682
286,19,1973-02-14,Save the Tiger,38714
287,22,1973-02-22,Turkish Delight,21035
288,23,1973-02-22,Walking Tall,25473
289,24,1973-02-21,Lolly-Madonna XXX,114953
290,25,1973-02-24,The Blood Brothers,64363
291,26,1973-03-01,Charlotte's Web,15171
292,27,1973-03-01,The Thief Who Came to Dinner,92299
293,28,1973-03-04,Baxter!,235078
294,29,1973-03-07,Slither,87417
295,35,1973-03-15,Tom Sawyer,42473
296,36,1973-03-16,The Crazies,29425
297,39,1973-03-18,Two People,255449
298,40,1973-03-21,Godspell,43158
299,41,1973-03-23,Charley and the Angel,103711
300,43,1973-03-28,Black Snake,5656
301,1,1973-04-04,The Mack,29515
302,3,1973-04-07,Night Flight from Moscow,44607
303,4,1973-04-10,Class of '44,89545
304,6,1973-04-11,Scarecrow,31587
305,7,1973-04-12,The Iron Rose,84473
306,10,1973-04-18,Bequest to the Nation,342945
307,11,1973-04-18,Charley One-Eye,83831
308,12,1973-04-19,Love and Pain and the Whole Damn Thing,46941
309,15,1973-04-20,Ganja & Hess,83096
310,17,1973-04-27,And Now the Screaming Starts!,42455
311,18,1973-05-01,Guns of a Stranger,445063
312,22,1973-05-09,Paper Moon,11293
313,23,1973-05-11,The Harrad Experiment,2988
314,31,1973-05-24,Day for Night,1675
315,36,1973-06-13,"Wicked, Wicked",86494
316,37,1973-06-14,The Last of Sheila,26331
317,38,1973-06-15,Battle for the Planet of the Apes,1705
318,39,1973-06-15,Idaho Transfer,74836
319,40,1973-06-15,Interval,215800
320,41,1973-06-15,The Legend of Hell House,16180
321,43,1973-06-17,Blume in Love,109259
322,45,1973-06-20,One Little Indian,45827
323,47,1973-06-20,Showdown,85648
324,49,1973-06-26,The Friends of Eddie Coyle,25680
325,51,1973-06-28,40 Carats,42456
326,52,1973-06-28,The Man Who Loved Cat Dancing,42472
327,53,1973-06-30,Belladonna of Sadness,64847
328,1,1973-07-11,Cahill U.S. Marshal,30708
329,3,1973-07-13,Cleopatra Jones,26196
330,4,1973-07-13,Lady Ice,304816
331,7,1973-07-20,Dillinger,28110
332,8,1973-07-25,Badge 373,92389
333,10,1973-07-25,"No Sex Please, We're British",131047
334,11,1973-07-27,The Last American Hero,31605
335,12,1973-08-01,The Boy Who Cried Werewolf,94542
336,13,1973-08-01,Maurie,399405
337,14,1973-08-01,The Naked Ape,208333
338,15,1973-08-03,Blackenstein,3162
339,16,1973-08-03,The Neptune Factor,62754
340,17,1973-08-08,Heavy Traffic,30593
341,18,1973-08-08,The Stone Killer,26202
342,20,1973-08-09,Gordon's War,43077
343,22,1973-08-11,American Graffiti,838
344,23,1973-08-15,Cops and Robbers,88359
345,24,1973-08-15,Jesus Christ Superstar,12545
346,25,1973-08-17,"Happy Mother's Day, Love George",113132
347,31,1973-08-26,Bang the Drum Slowly,42459
348,33,1973-09-14,Chino,73984
349,36,1973-09-18,Hit!,103314
350,37,1973-09-21,The Spook Who Sat by the Door,62330
351,38,1973-09-23,Harry in Your Pocket,72460
352,39,1973-09-26,The Slams,42711
353,1,1973-10-04,The Final Programme,42471
354,4,1973-10-16,The Paper Chase,14328
355,8,1973-10-19,The Outfit,26762
356,10,1973-10-21,"Summer Wishes, Winter Dreams",92311
357,11,1973-10-23,Jonathan Livingston Seagull,56150
358,12,1973-10-24,The All-American Boy,172009
359,13,1973-10-25,Five on the Black Hand Side,86217
360,14,1973-10-29,The Homecoming,122291
361,17,1973-11-01,Ash Wednesday,117207
362,19,1973-11-07,Executive Action,29142
363,21,1973-11-08,Robin Hood,11886
364,22,1973-11-12,A Delicate Balance,38729
365,23,1973-11-14,The Don Is Dead,94741
366,24,1973-11-16,Arnold,119884
367,25,1973-11-18,Breezy,40374
368,27,1973-11-20,The Affair,179877
369,31,1973-11-30,Flesh for Frankenstein,3043
370,36,1973-12-06,The Wicker Man,16307
371,38,1973-12-11,The Three Musketeers,2926
372,42,1973-12-14,Superdad,46667
373,43,1973-12-14,The Seven-Ups,32080
374,46,1973-12-17,Sleeper,11561
375,47,1973-12-18,Amarcord,7857
