,Released,English title,Genre,Score,Popularity,Overview,Or_lan,Actor_1_name,Actor_1_popu,Actor_2_name,Actor_2_popu,Actor_3_name,Actor_3_popu
19,2013-08-09,Exhibition, Drama,4.9,5.27,"An intimate examination of a contemporary artist couple, whose living and working patterns are threatened by the imminent sale of their home.",en,Viv Albertine,2.233,Liam Gillick,1.4,Tom Hiddleston,37.661
20,2013-08-22,The Dead 2: India, Horror Action Drama,5.274,13.651,An infectious epidemic spreads through India as an American turbine engineer learns that his pregnant girlfriend is trapped near the slums of Mumbai. Now he must battle his way across a 300mile wasteland of the ravenous undead.,en,Joseph Millson,13.951,Meenu Mishra,1.025,Anand Krishna Goyal,0.746
21,2013-08-23,Dementamania, Thriller Horror,5.5,0.6,A frustrated office worker finds himself caught between the realms of his deranged imagination and the mundane reality of his everyday existence.,en,Geoff Bell,22.737,Vincent Regan,34.907,Kal Penn,41.981
22,2013-08-28,Closed Circuit, Mystery Drama Crime Thriller,5.9,20.669,A high-profile terrorism case unexpectedly binds together two ex-lovers on the defense team - testing the limits of their loyalties and placing their lives in jeopardy.,en,Eric Bana,82.965,Rebecca Hall,37.66,Ciarán Hinds,39.449
23,2013-09-02,Rush, Drama Action,7.716,46.737,"In the 1970s, a rivalry propels race car drivers Niki Lauda and James Hunt to fame and glory — until a horrible accident threatens to end it all.",en,Chris Hemsworth,34.189,Daniel Brühl,32.248,Olivia Wilde,33.994
24,2013-09-06,Jadoo, Comedy,5.7,7.496,"This comedy revolves around two brothers, both wonderful chefs, who fall out catastrophically. At the climax of their dispute they rip the family recipe book in half - one brother gets the starters and the other gets the main courses. They set up rival restaurants, across the road from each other, and spend the next twenty years trying to out-do each other. Neither brother will admit it but they both know they are not entirely successful in the 'other half' of the menu. It takes a daughter - a successful corporate lawyer marrying a man from a very different background - to reunite them. She is planning her marriage and is determined that they will both cook the wedding banquet.",en,Harish Patel,18.621,Kulvinder Ghir,8.759,Amara Karan,15.086
25,2013-09-07,Jimi: All Is by My Side, Drama Music,5.652,14.093,"A drama based on Jimi Hendrix's life as he left New York City for London, where his career took off.",en,André 3000,21.904,Hayley Atwell,57.902,Imogen Poots,39.448
26,2013-09-08,Half of a Yellow Sun, Romance Drama,4.9,6.585,"An epic love story: Olanna and Kainene are glamorous twins, living a privileged city life in newly independent 1960s Nigeria. The two women make very different choices of lovers, but rivalry and betrayal must be set aside as their lives are swept up in the turbulence of war.",en,Chiwetel Ejiofor,28.359,Thandiwe Newton,29.576,Anika Noni Rose,18.703
27,2013-09-09,One Chance, Drama Comedy Music,6.686,13.435,"This film follows the remarkable and inspirational true story of Paul Potts, a shy, bullied shop assistant by day and an amateur opera singer by night.",en,James Corden,17.305,Alexandra Roach,21.161,Julie Walters,25.237
28,2013-09-09,Third Person, Drama Romance,5.879,20.176,"An acclaimed novelist struggles to write an analysis of love in one of three stories, each set in a different city, that detail the beginning, middle and end of a relationship.",en,Liam Neeson,93.368,Mila Kunis,67.522,Adrien Brody,46.909
29,2013-10-04,The Patrol, Drama War,4.3,9.525,"Afghanistan, 2006, Helmand Province becomes one of the most dangerous places on Earth as the British Army is deployed into the Taliban heartland. The Operation, Herrick, became synonymous with the struggle as British troops fought a losing battle against this unseen enemy.",en,Owain Arthur,11.546,Nicholas Beveney,2.662,Daniel Fraser,2.896
