,Released,English title,TMDB_id,Genre,Score,Popularity,Overview,Or_lan,Casts
0,2013-01-18,The Wee Man,121604, Drama Crime History,5.663,10.262,The true life story of the rise to power of Glasgow gangster Paul Ferris.,en,"{'cast': [{'adult': False, 'gender': 2, 'id': 10727, 'known_for_department': 'Acting', 'name': 'John Hannah', 'original_name': 'John Hannah', 'popularity': 25.532, 'profile_path': '/8GzJhaZrChZpv84SU4vAsvsR3cl.jpg', 'cast_id': 1, 'character': 'Tam McGraw', 'credit_id': '52fe4a68c3a368484e15195f', 'order': 0}, {'adult': False, 'gender': 2, 'id': 16628, 'known_for_department': 'Acting', 'name': 'Martin Compston', 'original_name': 'Martin Compston', 'popularity': 22.415, 'profile_path': '/4w5NVp8MWF51bRdcB4A91ecxHnv.jpg', 'cast_id': 2, 'character': 'Paul Ferris', 'credit_id': '52fe4a68c3a368484e151963', 'order': 1}, {'adult': False, 'gender': 2, 'id': 29459, 'known_for_department': 'Acting', 'name': 'Patrick Bergin', 'original_name': 'Patrick Bergin', 'popularity': 16.171, 'profile_path': '/mxFum2Fr5YWD6kDQYb5u7EEvuva.jpg', 'cast_id': 3, 'character': 'Arthur Thompson', 'credit_id': '52fe4a68c3a368484e151967', 'order': 2}, {'adult': False, 'gender': 2, 'id': 71770, 'known_for_department': 'Acting', 'name': 'Stephen McCole', 'original_name': 'Stephen McCole', 'popularity': 7.968, 'profile_path': '/y3IuUJVnfXwdKILa7O4LmMdQr01.jpg', 'cast_id': 7, 'character': 'Junior Thompson', 'credit_id': '52fe4a68c3a368484e151977', 'order': 3}, {'adult': False, 'gender': 1, 'id': 47754, 'known_for_department': 'Acting', 'name': 'Rita Tushingham', 'original_name': 'Rita Tushingham', 'popularity': 16.59, 'profile_path': '/tNEnBfq5vPtFD7lEtbP7HmmuKeV.jpg', 'cast_id': 8, 'character': 'Rita Thompson', 'credit_id': '52fe4a68c3a368484e15197b', 'order': 4}, {'adult': False, 'gender': 2, 'id': 47698, 'known_for_department': 'Acting', 'name': 'Denis Lawson', 'original_name': 'Denis Lawson', 'popularity': 11.765, 'profile_path': '/b4BcP3UGtpgK1LYgpgFeYx7bD8V.jpg', 'cast_id': 9, 'character': 'Willie Ferris', 'credit_id': '52fe4a68c3a368484e15197f', 'order': 5}, {'adult': False, 'gender': 1, 'id': 97889, 'known_for_department': 'Acting', 'name': 'Clare Grogan', 'original_name': 'Clare Grogan', 'popularity': 7.408, 'profile_path': '/bJu9BAhLJm6K0YBUcU5ndblF8B6.jpg', 'cast_id': 10, 'character': 'Jenny Ferris', 'credit_id': '52fe4a68c3a368484e151983', 'order': 6}, {'adult': False, 'gender': 1, 'id': 1143487, 'known_for_department': 'Acting', 'name': 'Laura McMonagle', 'original_name': 'Laura McMonagle', 'popularity': 4.89, 'profile_path': '/fC6Drtv7fcUOjbt05JFpIvwT9uM.jpg', 'cast_id': 15, 'character': 'Anne Marie', 'credit_id': '597232fe92514112bb012ee1', 'order': 7}, {'adult': False, 'gender': 2, 'id': 2465, 'known_for_department': 'Acting', 'name': 'James Robinson', 'original_name': 'James Robinson', 'popularity': 11.966, 'profile_path': '/zESqY8KKwkTsuEx75n7Jaumn8ho.jpg', 'cast_id': 12, 'character': 'Schoolbus Policeman', 'credit_id': '52fe4a68c3a368484e15198b', 'order': 8}, {'adult': False, 'gender': 0, 'id': 1855512, 'known_for_department': 'Acting', 'name': 'Steven McEwan', 'original_name': 'Steven McEwan', 'popularity': 0.98, 'profile_path': None, 'cast_id': 14, 'character': 'Shady Man 1', 'credit_id': '597232dd9251417fa60131a6', 'order': 9}, {'adult': False, 'gender': 0, 'id': 1855510, 'known_for_department': 'Acting', 'name': 'Cameron Robertson', 'original_name': 'Cameron Robertson', 'popularity': 0.6, 'profile_path': '/o8jfwVozMHxF0GoooMveJreK5YK.jpg', 'cast_id': 13, 'character': 'Shady Man 2', 'credit_id': '59723273c3a3687c7d012869', 'order': 10}, {'adult': False, 'gender': 1, 'id': 9016, 'known_for_department': 'Acting', 'name': 'Eileen Nicholas', 'original_name': 'Eileen Nicholas', 'popularity': 13.25, 'profile_path': '/icQ5zOv7kcCoV1jn6DBDQSN0oPP.jpg', 'cast_id': 16, 'character': 'Mrs. Gillespie', 'credit_id': '5972345f9251415e86037761', 'order': 11}, {'adult': False, 'gender': 0, 'id': 1855513, 'known_for_department': 'Acting', 'name': 'Christina Andrew', 'original_name': 'Christina Andrew', 'popularity': 1.4, 'profile_path': '/pC0hsNc9qb5adOW7oJoYTzTEvHD.jpg', 'cast_id': 17, 'character': ""Johnny's Girlfriend"", 'credit_id': '5972347e9251412d4c050815', 'order': 12}, {'adult': False, 'gender': 0, 'id': 1034706, 'known_for_department': 'Acting', 'name': 'Paul Donnelly', 'original_name': 'Paul Donnelly', 'popularity': 0.84, 'profile_path': None, 'cast_id': 18, 'character': 'Bobby Glover', 'credit_id': '5b61e5760e0a267ef6018dfd', 'order': 13}, {'adult': False, 'gender': 0, 'id': 1572149, 'known_for_department': 'Acting', 'name': 'Jamie Laird', 'original_name': 'Jamie Laird', 'popularity': 1.4, 'profile_path': '/n4AkKUCW6JvvAevITgCQq1whAAf.jpg', 'cast_id': 19, 'character': 'TV Man with MIC', 'credit_id': '658dc12cfe5c91235710b97f', 'order': 14}], 'crew': [{'adult': False, 'gender': 2, 'id': 82805, 'known_for_department': 'Acting', 'name': 'Ray Burdis', 'original_name': 'Ray Burdis', 'popularity': 7.193, 'profile_path': '/mp3q2lsXkHH0AoZOnoippbV8CJv.jpg', 'credit_id': '52fe4a68c3a368484e15196d', 'department': 'Directing', 'job': 'Director'}, {'adult': False, 'gender': 2, 'id': 82805, 'known_for_department': 'Acting', 'name': 'Ray Burdis', 'original_name': 'Ray Burdis', 'popularity': 7.193, 'profile_path': '/mp3q2lsXkHH0AoZOnoippbV8CJv.jpg', 'credit_id': '52fe4a68c3a368484e151973', 'department': 'Writing', 'job': 'Writer'}]}"
1,2013-02-04,Gangs of Tooting Broadway,115459, Crime Drama,6.0,1.4,"Tooting Broadway is an urban crime drama set in 2009, whose South London location lends a gritty feel to a fast paced story that highlights a rarely seen gang culture.",en,"{'cast': [{'adult': False, 'gender': 1, 'id': 1223886, 'known_for_department': 'Acting', 'name': 'Elizabeth Henstridge', 'original_name': 'Elizabeth Henstridge', 'popularity': 17.556, 'profile_path': '/7jodEzlGLKJYncM1tTGZdKiVWhZ.jpg', 'cast_id': 5, 'character': 'Kate', 'credit_id': '52fe4b6dc3a36847f82032cd', 'order': 0}, {'adult': False, 'gender': 2, 'id': 24627, 'known_for_department': 'Acting', 'name': 'Oliver Cotton', 'original_name': 'Oliver Cotton', 'popularity': 7.693, 'profile_path': '/2I2W2hpNPRWpidKyRDGJ3p0hSRc.jpg', 'cast_id': 6, 'character': '', 'credit_id': '64012622c7176d00a8e94c7d', 'order': 1}, {'adult': False, 'gender': 2, 'id': 203541, 'known_for_department': 'Acting', 'name': 'San Shella', 'original_name': 'San Shella', 'popularity': 3.527, 'profile_path': '/anDhjCtsRekQYAUf1CS647Qp2pm.jpg', 'cast_id': 7, 'character': '', 'credit_id': '640126559653f600817fb245', 'order': 2}, {'adult': False, 'gender': 0, 'id': 2537669, 'known_for_department': 'Acting', 'name': 'Krishan Naidoo', 'original_name': 'Krishan Naidoo', 'popularity': 3.212, 'profile_path': None, 'cast_id': 8, 'character': '', 'credit_id': '64035786021cee00b4fe1241', 'order': 3}, {'adult': False, 'gender': 0, 'id': 1894420, 'known_for_department': 'Acting', 'name': 'Marcus Boyea', 'original_name': 'Marcus Boyea', 'popularity': 0.84, 'profile_path': '/rmcNAIG978VbLe4dVKXphgB0eMp.jpg', 'cast_id': 9, 'character': '', 'credit_id': '6403579c383df2007bc764b6', 'order': 4}, {'adult': False, 'gender': 2, 'id': 142870, 'known_for_department': 'Acting', 'name': 'Terence Anderson', 'original_name': 'Terence Anderson', 'popularity': 1.176, 'profile_path': '/8Haf1dGddXzvvpNyjYU3Rg0j1L2.jpg', 'cast_id': 10, 'character': '', 'credit_id': '640357d8136545008ce90af4', 'order': 5}, {'adult': False, 'gender': 0, 'id': 3172071, 'known_for_department': 'Acting', 'name': 'Katherine Moran', 'original_name': 'Katherine Moran', 'popularity': 1.4, 'profile_path': None, 'cast_id': 11, 'character': '', 'credit_id': '64035811136545009e7b3646', 'order': 6}, {'adult': False, 'gender': 2, 'id': 81483, 'known_for_department': 'Acting', 'name': 'Gary Pillai', 'original_name': 'Gary Pillai', 'popularity': 4.187, 'profile_path': '/5spoQG9bekDRTMKtHPJdhxhib29.jpg', 'cast_id': 12, 'character': '', 'credit_id': '64035824392712007cb13d36', 'order': 7}], 'crew': [{'adult': False, 'gender': 0, 'id': 1167493, 'known_for_department': 'Production', 'name': 'Joshua Clement', 'original_name': 'Joshua Clement', 'popularity': 0.692, 'profile_path': None, 'credit_id': '52fe4b6dc3a36847f82032b7', 'department': 'Production', 'job': 'Producer'}, {'adult': False, 'gender': 0, 'id': 1167494, 'known_for_department': 'Directing', 'name': 'Devanand Shanmugam', 'original_name': 'Devanand Shanmugam', 'popularity': 0.65, 'profile_path': None, 'credit_id': '52fe4b6dc3a36847f82032bd', 'department': 'Directing', 'job': 'Director'}, {'adult': False, 'gender': 0, 'id': 1167495, 'known_for_department': 'Writing', 'name': 'Tikiri Hulugalle', 'original_name': 'Tikiri Hulugalle', 'popularity': 0.6, 'profile_path': None, 'credit_id': '52fe4b6dc3a36847f82032c3', 'department': 'Writing', 'job': 'Writer'}, {'adult': False, 'gender': 0, 'id': 1167496, 'known_for_department': 'Editing', 'name': 'Ben Nugent', 'original_name': 'Ben Nugent', 'popularity': 0.6, 'profile_path': None, 'credit_id': '52fe4b6dc3a36847f82032c9', 'department': 'Editing', 'job': 'Editor'}]}"
